system,client,architecture,half,arm,class,routing_norm
h9,0,ResNet10,u1,frozen,0,2.6633309404645127
h9,0,ResNet10,u1,frozen,1,1.25489170999512
h9,0,ResNet10,u1,frozen,2,1.010275759625367
h9,0,ResNet10,u1,frozen,3,1.1650059469863823
h9,0,ResNet10,u1,frozen,4,2.4843500963852514
h9,0,ResNet10,u1,frozen,5,1.9590141955429892
h9,0,ResNet10,u1,frozen,6,0.9835262217366352
h9,0,ResNet10,u1,frozen,7,1.1743069830467194
h9,0,ResNet10,u1,frozen,8,1.19763532752888
h9,0,ResNet10,u1,frozen,9,1.259239692748607
h9,0,ResNet10,u1,crsf,0,2.5856280699513303
h9,0,ResNet10,u1,crsf,1,1.252578066336161
h9,0,ResNet10,u1,crsf,2,1.160020373923864
h9,0,ResNet10,u1,crsf,3,1.1172737785668223
h9,0,ResNet10,u1,crsf,4,2.3257966720403123
h9,0,ResNet10,u1,crsf,5,1.9238964087030443
h9,0,ResNet10,u1,crsf,6,1.0721039606165368
h9,0,ResNet10,u1,crsf,7,1.2207148065432183
h9,0,ResNet10,u1,crsf,8,1.2048068034154065
h9,0,ResNet10,u1,crsf,9,1.2673551989079141
h9,0,ResNet10,u1,rawspec,0,2.75229817390254
h9,0,ResNet10,u1,rawspec,1,1.3723122786180837
h9,0,ResNet10,u1,rawspec,2,1.0638544811021884
h9,0,ResNet10,u1,rawspec,3,1.137637704541745
h9,0,ResNet10,u1,rawspec,4,2.6736545219455192
h9,0,ResNet10,u1,rawspec,5,1.7983711925361796
h9,0,ResNet10,u1,rawspec,6,1.0499622260703134
h9,0,ResNet10,u1,rawspec,7,1.1502814309104212
h9,0,ResNet10,u1,rawspec,8,1.3017646157476856
h9,0,ResNet10,u1,rawspec,9,1.3744500474389758
h9,0,ResNet10,u2,frozen,0,2.646663576789826
h9,0,ResNet10,u2,frozen,1,1.2093493830830768
h9,0,ResNet10,u2,frozen,2,1.0270008238552382
h9,0,ResNet10,u2,frozen,3,1.1625191446474241
h9,0,ResNet10,u2,frozen,4,2.3883317781825526
h9,0,ResNet10,u2,frozen,5,1.9629558888756617
h9,0,ResNet10,u2,frozen,6,0.9739933861424873
h9,0,ResNet10,u2,frozen,7,1.1225468359962314
h9,0,ResNet10,u2,frozen,8,1.1564431858887563
h9,0,ResNet10,u2,frozen,9,1.2149994389178194
h9,0,ResNet10,u2,crsf,0,2.569342150483472
h9,0,ResNet10,u2,crsf,1,1.2211795052372967
h9,0,ResNet10,u2,crsf,2,1.1795491368922957
h9,0,ResNet10,u2,crsf,3,1.1159393565902032
h9,0,ResNet10,u2,crsf,4,2.229886380347924
h9,0,ResNet10,u2,crsf,5,1.9291250564398263
h9,0,ResNet10,u2,crsf,6,1.074510415180898
h9,0,ResNet10,u2,crsf,7,1.1656287393156322
h9,0,ResNet10,u2,crsf,8,1.1762777205268824
h9,0,ResNet10,u2,crsf,9,1.237684983752941
h9,0,ResNet10,u2,rawspec,0,2.736677126799018
h9,0,ResNet10,u2,rawspec,1,1.3169427985266722
h9,0,ResNet10,u2,rawspec,2,1.0824291380581814
h9,0,ResNet10,u2,rawspec,3,1.1381383244646341
h9,0,ResNet10,u2,rawspec,4,2.5750586233473047
h9,0,ResNet10,u2,rawspec,5,1.8080473290992682
h9,0,ResNet10,u2,rawspec,6,1.0298508322753106
h9,0,ResNet10,u2,rawspec,7,1.1004969094957564
h9,0,ResNet10,u2,rawspec,8,1.2519318741435934
h9,0,ResNet10,u2,rawspec,9,1.3205112316807337
h9,3,Mobilenetv2,u1,frozen,0,1.5308320962507016
h9,3,Mobilenetv2,u1,frozen,1,1.5113843641271563
h9,3,Mobilenetv2,u1,frozen,2,1.2603400731324028
h9,3,Mobilenetv2,u1,frozen,3,0.3899184814365282
