system,client,architecture,half,arm,mode,lambda,readout_gain,weighted_lambda
h9,0,ResNet10,u1,frozen,1,17.086229090118795,1.0260415137662755,17.531180360182862
h9,0,ResNet10,u1,frozen,2,2.3815492534309213,0.5898502580513313,1.4047574416981843
h9,0,ResNet10,u1,frozen,3,1.2979273648500744,3.9284905968203527,5.098895448169337
h9,0,ResNet10,u1,frozen,4,0.7335878049424176,1.3448426386635037,0.9865601592901285
h9,0,ResNet10,u1,frozen,5,0.5076096918754847,1.297131720285533,0.6584366328560568
h9,0,ResNet10,u1,frozen,6,0.29247476495689384,0.37410995029445926,0.10941771978040721
h9,0,ResNet10,u1,frozen,7,0.1775839507071443,1.6049105808258832,0.285006361474758
h9,0,ResNet10,u1,frozen,8,0.12710804054604252,0.06723829975994992,0.008546528532134676
h9,0,ResNet10,u1,frozen,9,0.09472656198098756,0.7470197730233938,0.07076261483032377
h9,0,ResNet10,u1,frozen,10,0.06996240458805855,0.4833438796204987,0.033815900061171196
h9,0,ResNet10,u1,frozen,11,0.04175086548215207,2.092724044946758,0.08737304009183726
h9,0,ResNet10,u1,frozen,12,0.03821646112398857,0.4188064414988047,0.01600530009001506
h9,0,ResNet10,u1,frozen,13,0.03129994688977259,1.6411237158032144,0.05136708514418686
h9,0,ResNet10,u1,frozen,14,0.025852626382354266,1.217315075610883,0.03147079183937549
h9,0,ResNet10,u1,frozen,15,0.01996418664759867,0.26376315951049967,0.005265816947227956
h9,0,ResNet10,u1,frozen,16,0.015085697138655714,0.5465415854367068,0.008244960831578886
h9,0,ResNet10,u1,frozen,17,0.013792217235333243,0.7517686321758962,0.010368556285679292
h9,0,ResNet10,u1,frozen,18,0.01254245952321325,0.4550607877770329,0.00570758151129497
h9,0,ResNet10,u1,frozen,19,0.008617765277284264,0.2602653052560137,0.0022429053105170647
h9,0,ResNet10,u1,frozen,20,0.006814176522696521,0.3830777204310217,0.0026103592089291696
h9,0,ResNet10,u1,frozen,21,0.006607422268555439,0.288297321294946,0.0019049021406891084
h9,0,ResNet10,u1,frozen,22,0.005384252012212941,0.26340477408607627,0.001418237684899451
h9,0,ResNet10,u1,frozen,23,0.004485238172848767,0.5671582186111956,0.0025438396921598407
h9,0,ResNet10,u1,frozen,24,0.004253167112462855,0.2071270874633649,0.0008809461164994009
h9,0,ResNet10,u1,frozen,25,0.00385296938962556,0.09073640735038133,0.0003496046000456149
h9,0,ResNet10,u1,frozen,26,0.00346525390341149,0.22150569961755617,0.0007675734902276295
h9,0,ResNet10,u1,frozen,27,0.002735610339514245,0.4600617798223378,0.0012585497616973134
h9,0,ResNet10,u1,frozen,28,0.0026629559395469106,0.30992773315885686,0.0008253238978456879
h9,0,ResNet10,u1,frozen,29,0.002419083581982809,0.17363153905799866,0.0004200292054496114
h9,0,ResNet10,u1,frozen,30,0.002214003142518441,0.19538515230821357,0.0004325833412118291
h9,0,ResNet10,u1,frozen,31,0.0019504443585149902,0.1732434889936881,0.00033790178575719275
h9,0,ResNet10,u1,frozen,32,0.0016843080497442192,0.1710652819423326,0.0002881266314072352
h9,0,ResNet10,u1,frozen,33,0.0016303979784088702,0.21336917310731573,0.0003478766684889398
h9,0,ResNet10,u1,frozen,34,0.0014030988594749582,0.13658523532214786,0.00019164258790162444
h9,0,ResNet10,u1,frozen,35,0.00138450628005587,0.2002557522416029,0.0002772553465958116
h9,0,ResNet10,u1,frozen,36,0.0013612968574782196,0.29716135623088485,0.0004045248204010693
h9,0,ResNet10,u1,frozen,37,0.0010300283229911743,0.30399448138589863,0.0003131229258604889
h9,0,ResNet10,u1,frozen,38,0.0009046605682678442,0.06422385833970758,5.810079218195338e-05
h9,0,ResNet10,u1,frozen,39,0.0008501043744965924,0.22161363389950164,0.0001883947196260527
h9,0,ResNet10,u1,frozen,40,0.0007491675908574696,0.18638801724255222,0.00013963586184230335
h9,0,ResNet10,u1,frozen,41,0.0007342582024549137,0.11926915733584015,8.757435707372627e-05
h9,0,ResNet10,u1,frozen,42,0.00065279129355538,0.12904121982791797,8.423698481343071e-05
h9,0,ResNet10,u1,frozen,43,0.0006384338855713548,0.06147100825197886,3.924517464829968e-05
h9,0,ResNet10,u1,frozen,44,0.0004913258885381113,0.1656263512642136,8.137651420021508e-05
h9,0,ResNet10,u1,frozen,45,0.00045409473703077267,0.07810878261787768,3.5468787102658956e-05
h9,0,ResNet10,u1,frozen,46,0.00040332217321726346,0.035626330653277236,1.4368889102836583e-05
h9,0,ResNet10,u1,frozen,47,0.0003828573369399347,0.0704887748023717,2.69871446049948e-05
h9,0,ResNet10,u1,frozen,48,0.00034826845242663505,0.1003592997697333,3.495197801742577e-05
h9,0,ResNet10,u1,frozen,49,0.0002864462963692432,0.025614927759788336,7.337301188557085e-06
h9,0,ResNet10,u1,frozen,50,0.0002631989499524214,0.10945140817787126,2.8807495703229583e-05
h9,0,ResNet10,u1,frozen,51,0.0002493773194136283,0.020250520307853327,5.050020471103706e-06
h9,0,ResNet10,u1,frozen,52,0.00021552922484852693,0.2923826113901946,6.301699759211672e-05
h9,0,ResNet10,u1,frozen,53,0.0001899968675389949,0.33191806473641144,6.30633925795235e-05
h9,0,ResNet10,u1,frozen,54,0.0001728572597556301,0.14664693659867795,2.534898761200509e-05
h9,0,ResNet10,u1,frozen,55,0.00015906149510992254,0.03704715173720452,5.892775344883915e-06
h9,0,ResNet10,u1,frozen,56,0.00014139085115514203,0.16623111590761314,2.350355896664649e-05
h9,0,ResNet10,u1,frozen,57,0.00012443032024596508,0.09868616874450178,1.2279551580725707e-05
h9,0,ResNet10,u1,frozen,58,0.00012001843065716054,0.07300798076161148,8.762303276456779e-06
h9,0,ResNet10,u1,frozen,59,0.00010598269107129324,0.04982665901324839,5.280763409315773e-06
h9,0,ResNet10,u1,frozen,60,9.254385137705602e-05,0.010248984988888687,9.484805435773929e-07
h9,0,ResNet10,u1,frozen,61,7.548378576786918e-05,0.03839959917241146,2.8985471175023532e-06
h9,0,ResNet10,u1,frozen,62,6.447354713804867e-05,0.07404358872468096,4.773852807911007e-06
