system,client,architecture,half,arm,routing_mode,routing_eigenvalue
h9,0,ResNet10,u1,frozen,1,18.60208824118689
h9,0,ResNet10,u1,frozen,2,5.323215022015838
h9,0,ResNet10,u1,frozen,3,1.4608173214580722
h9,0,ResNet10,u1,frozen,4,0.6405161550452018
h9,0,ResNet10,u1,frozen,5,0.2918821512967678
h9,0,ResNet10,u1,frozen,6,0.06448753792231676
h9,0,ResNet10,u1,frozen,7,0.03811420673126438
h9,0,ResNet10,u1,frozen,8,0.0005398576282034753
h9,0,ResNet10,u1,frozen,9,0.00038809652874108037
h9,0,ResNet10,u1,frozen,10,3.490525596505143e-31
h9,0,ResNet10,u1,crsf,1,17.01015285109792
h9,0,ResNet10,u1,crsf,2,6.0014526750642405
h9,0,ResNet10,u1,crsf,3,1.5252090855309164
h9,0,ResNet10,u1,crsf,4,0.6872279668819752
h9,0,ResNet10,u1,crsf,5,0.3113966411099071
h9,0,ResNet10,u1,crsf,6,0.07632268415358766
h9,0,ResNet10,u1,crsf,7,0.043589441694709324
h9,0,ResNet10,u1,crsf,8,0.0006100002364285516
h9,0,ResNet10,u1,crsf,9,0.000418672941180843
h9,0,ResNet10,u1,crsf,10,2.443884440559253e-31
h9,0,ResNet10,u1,rawspec,1,20.672924219950573
h9,0,ResNet10,u1,rawspec,2,4.945492828134591
h9,0,ResNet10,u1,rawspec,3,1.5305054341502116
h9,0,ResNet10,u1,rawspec,4,0.6869758465040783
h9,0,ResNet10,u1,rawspec,5,0.3275696953680111
h9,0,ResNet10,u1,rawspec,6,0.07089021196726311
h9,0,ResNet10,u1,rawspec,7,0.040850726268663956
h9,0,ResNet10,u1,rawspec,8,0.0006203483102133471
h9,0,ResNet10,u1,rawspec,9,0.00040236426912140306
h9,0,ResNet10,u1,rawspec,10,3.382204358263404e-31
h9,0,ResNet10,u2,frozen,1,17.709639046366327
h9,0,ResNet10,u2,frozen,2,5.2916285862863575
h9,0,ResNet10,u2,frozen,3,1.4125042173856743
h9,0,ResNet10,u2,frozen,4,0.6472989762675377
h9,0,ResNet10,u2,frozen,5,0.2970398210692205
h9,0,ResNet10,u2,frozen,6,0.05720301262109544
h9,0,ResNet10,u2,frozen,7,0.0369419237582908
h9,0,ResNet10,u2,frozen,8,0.000572926501416468
h9,0,ResNet10,u2,frozen,9,0.0003904610464106319
h9,0,ResNet10,u2,frozen,10,3.3740283151539597e-31
h9,0,ResNet10,u2,crsf,1,16.195459253985113
h9,0,ResNet10,u2,crsf,2,6.094497479413568
h9,0,ResNet10,u2,crsf,3,1.4422728954981856
h9,0,ResNet10,u2,crsf,4,0.6947344502623226
h9,0,ResNet10,u2,crsf,5,0.3146382573424764
h9,0,ResNet10,u2,crsf,6,0.06766368651438666
h9,0,ResNet10,u2,crsf,7,0.04180741563812525
h9,0,ResNet10,u2,crsf,8,0.0006414344918614842
h9,0,ResNet10,u2,crsf,9,0.0004135487582516299
h9,0,ResNet10,u2,crsf,10,1.599778030509913e-31
h9,0,ResNet10,u2,rawspec,1,19.56982201609198
h9,0,ResNet10,u2,rawspec,2,5.004776238719864
h9,0,ResNet10,u2,rawspec,3,1.4655522090982651
h9,0,ResNet10,u2,rawspec,4,0.6958824078444421
h9,0,ResNet10,u2,rawspec,5,0.3337996238147653
h9,0,ResNet10,u2,rawspec,6,0.06302376528645927
h9,0,ResNet10,u2,rawspec,7,0.03956517532552506
h9,0,ResNet10,u2,rawspec,8,0.0006586495847859127
h9,0,ResNet10,u2,rawspec,9,0.00040320268046696784
h9,0,ResNet10,u2,rawspec,10,3.111747359240651e-31
h9,3,Mobilenetv2,u1,frozen,1,15.375396265830007
h9,3,Mobilenetv2,u1,frozen,2,1.497311534711005
h9,3,Mobilenetv2,u1,frozen,3,0.9055389709943198
h9,3,Mobilenetv2,u1,frozen,4,0.20084561844463517
