arm,system,gamma,client,model,bank,carrier_half,class_index,positive_routing_energy,total_routing_norm_sq,positive_profile_share,total_profile_share,cross_half_positive_profile_cosine,cross_bank_positive_profile_cosine,probe_top_class_count,probe_top_class_fraction,mean_margin_when_top
h0,hfl,0,0,ResNet10,bank_a,ua,0,0.010046277854636167,0.01228210149102443,0.28461441406903554,0.1657648231197754,0.9910845920745697,0.9104251269350191,14,0.21875,0.08018562432922464
h0,hfl,0,0,ResNet10,bank_a,ua,1,0.00042770211471923196,0.0008805296387315066,0.01211694406010535,0.011884028146381452,0.9910845920745697,0.9104251269350191,0,0.0,0.0
h0,hfl,0,0,ResNet10,bank_a,ua,2,0.0014111626129503585,0.002012496343789726,0.03997870913510993,0.02716156520130445,0.9910845920745697,0.9104251269350191,3,0.046875,0.013032425931867228
h0,hfl,0,0,ResNet10,bank_a,ua,3,0.00014669254302771697,0.0017751984973613784,0.004155848841356029,0.02395888562984475,0.9910845920745697,0.9104251269350191,0,0.0,0.0
h0,hfl,0,0,ResNet10,bank_a,ua,4,0.012441213377919232,0.013436762344009057,0.3524637390185508,0.18134865070809159,0.9910845920745697,0.9104251269350191,27,0.421875,0.07499874886220524
h0,hfl,0,0,ResNet10,bank_a,ua,5,0.0004260666763524207,0.014251039902672801,0.012070611543799204,0.19233851067472174,0.9910845920745697,0.9104251269350191,2,0.03125,0.02363782067187939
h0,hfl,0,0,ResNet10,bank_a,ua,6,0.005739520785624797,0.02254724699445839,0.16260254485035963,0.3043078916589005,0.9910845920745697,0.9104251269350191,12,0.1875,0.09237426306866958
h0,hfl,0,0,ResNet10,bank_a,ua,7,0.0017623138844681597,0.0037055347356701324,0.0499269421860716,0.050011580711283456,0.9910845920745697,0.9104251269350191,4,0.0625,0.033171516787550794
h0,hfl,0,0,ResNet10,bank_a,ua,8,0.0024483237213882613,0.002502314078832846,0.06936183047064218,0.03377236794297594,0.9910845920745697,0.9104251269350191,1,0.015625,0.0016710474830949479
h0,hfl,0,0,ResNet10,bank_a,ua,9,0.0004485797973475682,0.0007003095694412075,0.0127084157966392,0.009451696193224115,0.9910845920745697,0.9104251269350191,1,0.015625,0.0004689448412144026
h0,hfl,0,0,ResNet10,bank_a,ub,0,0.009440080792868219,0.013061687950630027,0.25278804371783653,0.1713817987561717,0.9910845920745697,0.9129129672053862,13,0.203125,0.07941089018036172
h0,hfl,0,0,ResNet10,bank_a,ub,1,0.00027786522676072285,0.0008498509538874281,0.007440720967464788,0.01115085475188147,0.9910845920745697,0.9129129672053862,0,0.0,0.0
h0,hfl,0,0,ResNet10,bank_a,ub,2,0.001498628357346166,0.002048939976531756,0.04013051784470047,0.026884045924899236,0.9910845920745697,0.9129129672053862,3,0.046875,0.01221160578114608
h0,hfl,0,0,ResNet10,bank_a,ub,3,0.00015958480664373162,0.0018940935441046061,0.004273388328311235,0.02485231310287443,0.9910845920745697,0.9129129672053862,0,0.0,0.0
h0,hfl,0,0,ResNet10,bank_a,ub,4,0.015457111900562731,0.015958014325678106,0.4139130972081172,0.2093843621168084,0.9910845920745697,0.9129129672053862,31,0.484375,0.0811408389969282
h0,hfl,0,0,ResNet10,bank_a,ub,5,0.000384740250049271,0.011673894268003773,0.010302638005274556,0.15317262253561542,0.9910845920745697,0.9129129672053862,1,0.015625,0.013595566405479924
h0,hfl,0,0,ResNet10,bank_a,ub,6,0.005879859321507387,0.024337365837600988,0.15745184472815638,0.3193294427183031,0.9910845920745697,0.9129129672053862,10,0.15625,0.11780334162134713
h0,hfl,0,0,ResNet10,bank_a,ub,7,0.002018040813025341,0.003764741358464717,0.054039430430810054,0.04939699587864639,0.9910845920745697,0.9129129672053862,5,0.078125,0.01671449263897036
