row_type,metric,n,pearson_with_k0b_R,spearman_with_k0b_R,pearson_with_dsa,spearman_with_dsa,residual_pearson_with_dsa_after_k0b_R,system,spearman_effect_ranking_with_dsa,client_ranking_desc,dsa_client_ranking_desc
all_16_incremental,chi_out,16,0.874005882733096,0.8998527245949928,0.8393555039044759,0.7407952871870399,0.3422945631126474,,,,
all_16_incremental,positive_routing_strength,16,0.8483498979100673,0.9175257731958765,0.981010898018314,0.8969072164948455,0.9304817785203076,,,,
all_16_incremental,positive_class_concentration,16,0.9654588563455612,0.9381443298969073,0.902560789456606,0.858615611192931,0.5169474771214222,,,,
cle_effect_8_incremental,chi_out,8,0.7118728633623436,0.6666666666666666,-0.00304248376202608,0.16666666666666666,-0.7079178784425196,,,,
cle_effect_8_incremental,positive_routing_strength,8,0.6372558167829679,0.7380952380952381,0.9458536375144099,0.9523809523809523,0.9201799545178427,,,,
cle_effect_8_incremental,positive_class_concentration,8,0.9427835372075166,0.9761904761904762,0.7273226619102455,0.7619047619047619,0.6941779338695228,,,,
within_system_client_ranking,k0b_R,4,,,,,,hfl,0.7999999999999998,1;3;0;2,1;0;3;2
within_system_client_ranking,chi_out,4,,,,,,hfl,0.3999999999999999,1;3;2;0,1;0;3;2
within_system_client_ranking,positive_routing_strength,4,,,,,,hfl,0.9999999999999998,1;0;3;2,1;0;3;2
within_system_client_ranking,positive_class_concentration,4,,,,,,hfl,0.7999999999999998,1;3;0;2,1;0;3;2
within_system_client_ranking,k0b_R,4,,,,,,local,0.7999999999999998,1;3;0;2,1;0;3;2
within_system_client_ranking,chi_out,4,,,,,,local,0.0,3;1;2;0,1;0;3;2
within_system_client_ranking,positive_routing_strength,4,,,,,,local,0.9999999999999998,1;0;3;2,1;0;3;2
within_system_client_ranking,positive_class_concentration,4,,,,,,local,0.7999999999999998,1;3;0;2,1;0;3;2
