row_type,arm,system,gamma,client,model,dsa,k0b_R,chi_out,positive_routing_strength,total_routing_strength,positive_class_concentration,standardized_routing_energy,cross_half_positive_profile_cosine,cross_bank_positive_profile_cosine,predictor,n,pearson_with_dsa,spearman_with_dsa,dsa_delta,k0b_R_delta,k0b_R_ratio,chi_out_delta,chi_out_ratio,positive_routing_strength_delta,positive_routing_strength_ratio,positive_class_concentration_delta,positive_class_concentration_ratio
observation,h0,hfl,0,0,ResNet10,0.0035373679738539563,0.08651968885279505,0.3497003459135167,0.039884760201544175,0.08005203809773899,0.26148875284357853,5.123330438255296,0.9928721681704902,0.9116690470702027,,,,,,,,,,,,,
observation,h0,hfl,0,1,ResNet12,-0.0002503463464418517,0.030484185178114114,0.31250532897546685,0.03472396320096124,0.06758718003128404,0.1611165485539401,4.325579522002179,0.9759437524190058,0.9788370040441954,,,,,,,,,,,,,
observation,h0,hfl,0,2,ShuffleNet,0.004951449070876885,0.051641585753907454,0.31965164001370616,0.04217542454782021,0.0859909826243747,0.1809504053569127,5.5034228879599825,0.9961912526078807,0.95649562200758,,,,,,,,,,,,,
observation,h0,hfl,0,3,Mobilenetv2,-0.0021471341068944657,0.04342309391415962,0.33837175198173625,0.03899312304161841,0.07734434479665243,0.1675136821458423,4.950038066985755,0.9966537523519633,0.9261695380736441,,,,,,,,,,,,,
observation,h9,hfl,9,0,ResNet10,0.26408085435478656,0.18392042541658682,0.5540331932490412,0.21238538727366424,0.34417689566186443,0.37158221600719327,22.027321322359327,0.9996211016243336,0.9969098659988691,,,,,,,,,,,,,
observation,h9,hfl,9,1,ResNet12,0.2640658209984269,0.42228612284458167,0.7180508516754455,0.2200589768587151,0.40150961923070927,0.582895207427191,25.69661563076539,0.9999434281243242,0.9991809399354069,,,,,,,,,,,,,
observation,h9,hfl,9,2,ShuffleNet,0.10201279252818371,0.14081662929803532,0.5304068880874971,0.15107882616343293,0.27068572829089416,0.25029642840444194,17.32388661061723,0.9989395933804446,0.9764293079889933,,,,,,,,,,,,,
observation,h9,hfl,9,3,Mobilenetv2,0.1869225069841569,0.2924455020698817,0.7301086416873515,0.1792128542208502,0.3026168607085591,0.39942254272721606,19.36747908534779,0.9999206277068906,0.9944322489334834,,,,,,,,,,,,,
observation,l0,local,0,0,ResNet10,0.0007682998609864084,0.062470910458769485,0.46098307754648943,0.05457519930768369,0.10915936000188894,0.15604191962494668,6.986199040120894,0.9910210644351424,0.9612657209926931,,,,,,,,,,,,,
observation,l0,local,0,1,ResNet12,-0.0027588409895852963,0.03951831586492887,0.3251610054341897,0.036723069530957414,0.07982158318798624,0.14413452215191008,5.1085813240311175,0.9953334608278145,0.9379202387376182,,,,,,,,,,,,,
