arm,system,gamma,client,model,bank,carrier_half,probe_index_within_bank,top_routed_class,top1_top2_margin,retained_across_carrier_halves
h0,hfl,0,0,ResNet10,bank_a,ua,0,4,0.018716825347096212,True
h0,hfl,0,0,ResNet10,bank_a,ua,1,4,0.13198728346885663,True
h0,hfl,0,0,ResNet10,bank_a,ua,2,0,0.16151794086590174,True
h0,hfl,0,0,ResNet10,bank_a,ua,3,6,0.11533326534594751,True
h0,hfl,0,0,ResNet10,bank_a,ua,4,4,0.016656069864065107,True
h0,hfl,0,0,ResNet10,bank_a,ua,5,4,0.08558874271873482,True
h0,hfl,0,0,ResNet10,bank_a,ua,6,4,0.09392151266854497,True
h0,hfl,0,0,ResNet10,bank_a,ua,7,4,0.06196279609504017,True
h0,hfl,0,0,ResNet10,bank_a,ua,8,0,0.03080736420941521,True
h0,hfl,0,0,ResNet10,bank_a,ua,9,5,0.009642701920524105,True
h0,hfl,0,0,ResNet10,bank_a,ua,10,4,0.08397257338864181,True
h0,hfl,0,0,ResNet10,bank_a,ua,11,4,0.11334678888305746,True
h0,hfl,0,0,ResNet10,bank_a,ua,12,0,0.13192444017309918,True
h0,hfl,0,0,ResNet10,bank_a,ua,13,8,0.0016710474830949479,False
h0,hfl,0,0,ResNet10,bank_a,ua,14,7,0.0270649697404261,True
h0,hfl,0,0,ResNet10,bank_a,ua,15,2,0.035893790930648053,True
h0,hfl,0,0,ResNet10,bank_a,ua,16,6,0.26835335262937476,True
h0,hfl,0,0,ResNet10,bank_a,ua,17,4,0.023089119773556377,True
h0,hfl,0,0,ResNet10,bank_a,ua,18,6,0.06801494403164224,True
h0,hfl,0,0,ResNet10,bank_a,ua,19,6,0.06000746217888319,True
h0,hfl,0,0,ResNet10,bank_a,ua,20,7,0.030480418361956682,True
h0,hfl,0,0,ResNet10,bank_a,ua,21,0,0.01075413878473254,False
h0,hfl,0,0,ResNet10,bank_a,ua,22,4,0.07032109639404127,True
h0,hfl,0,0,ResNet10,bank_a,ua,23,6,0.029616502145395275,True
h0,hfl,0,0,ResNet10,bank_a,ua,24,0,0.1292605279956146,True
h0,hfl,0,0,ResNet10,bank_a,ua,25,7,0.02575627648830607,True
h0,hfl,0,0,ResNet10,bank_a,ua,26,6,0.025714536368165647,False
h0,hfl,0,0,ResNet10,bank_a,ua,27,4,0.05586252516814148,True
h0,hfl,0,0,ResNet10,bank_a,ua,28,4,0.002116242718098099,False
h0,hfl,0,0,ResNet10,bank_a,ua,29,6,0.25706496446193466,True
h0,hfl,0,0,ResNet10,bank_a,ua,30,6,0.04828812359257143,True
h0,hfl,0,0,ResNet10,bank_a,ua,31,4,0.23333531740421695,True
h0,hfl,0,0,ResNet10,bank_a,ua,32,4,0.00620022913616626,True
h0,hfl,0,0,ResNet10,bank_a,ua,33,4,0.035775455905682346,True
h0,hfl,0,0,ResNet10,bank_a,ua,34,0,0.16019337094416553,True
h0,hfl,0,0,ResNet10,bank_a,ua,35,4,0.09105111793409265,True
h0,hfl,0,0,ResNet10,bank_a,ua,36,4,0.022425209112830496,True
h0,hfl,0,0,ResNet10,bank_a,ua,37,0,0.17130458297084472,True
h0,hfl,0,0,ResNet10,bank_a,ua,38,6,0.017460585697356756,True
h0,hfl,0,0,ResNet10,bank_a,ua,39,4,0.1470351890116386,True
h0,hfl,0,0,ResNet10,bank_a,ua,40,0,0.07048401775468162,True
h0,hfl,0,0,ResNet10,bank_a,ua,41,2,0.0030087714961380962,False
h0,hfl,0,0,ResNet10,bank_a,ua,42,6,0.08355029788446111,True
h0,hfl,0,0,ResNet10,bank_a,ua,43,0,0.0002734812248975649,True
h0,hfl,0,0,ResNet10,bank_a,ua,44,0,0.027711297925517908,False
h0,hfl,0,0,ResNet10,bank_a,ua,45,4,0.07094461745847341,True
h0,hfl,0,0,ResNet10,bank_a,ua,46,4,0.11494742081098853,True
h0,hfl,0,0,ResNet10,bank_a,ua,47,6,0.10430291668239813,True
h0,hfl,0,0,ResNet10,bank_a,ua,48,4,0.09565624735393363,True
h0,hfl,0,0,ResNet10,bank_a,ua,49,9,0.0004689448412144026,True
h0,hfl,0,0,ResNet10,bank_a,ua,50,5,0.037632939423234674,False
h0,hfl,0,0,ResNet10,bank_a,ua,51,2,0.00019471536881553175,False
h0,hfl,0,0,ResNet10,bank_a,ua,52,4,0.06602606388584667,True
h0,hfl,0,0,ResNet10,bank_a,ua,53,4,0.1292321201041705,True
h0,hfl,0,0,ResNet10,bank_a,ua,54,4,0.005689522732360425,False
h0,hfl,0,0,ResNet10,bank_a,ua,55,0,0.03986283173584089,True
h0,hfl,0,0,ResNet10,bank_a,ua,56,6,0.030784205805904213,False
h0,hfl,0,0,ResNet10,bank_a,ua,57,4,0.10310619405722243,True
h0,hfl,0,0,ResNet10,bank_a,ua,58,0,0.0031198371307048778,True
h0,hfl,0,0,ResNet10,bank_a,ua,59,7,0.049384402559514325,True
h0,hfl,0,0,ResNet10,bank_a,ua,60,4,0.07488429637264071,True
h0,hfl,0,0,ResNet10,bank_a,ua,61,0,0.050379021847598154,True
h0,hfl,0,0,ResNet10,bank_a,ua,62,4,0.07111564151140369,True
h0,hfl,0,0,ResNet10,bank_a,ua,63,0,0.1350058870461305,True
h0,hfl,0,0,ResNet10,bank_a,ub,0,4,0.052489594320996806,True
h0,hfl,0,0,ResNet10,bank_a,ub,1,4,0.11889326650655148,True
h0,hfl,0,0,ResNet10,bank_a,ub,2,0,0.15307561596930688,True
h0,hfl,0,0,ResNet10,bank_a,ub,3,6,0.11963197632288254,True
h0,hfl,0,0,ResNet10,bank_a,ub,4,4,0.048882148357951044,True
h0,hfl,0,0,ResNet10,bank_a,ub,5,4,0.06589992689455193,True
h0,hfl,0,0,ResNet10,bank_a,ub,6,4,0.10614021300851777,True
h0,hfl,0,0,ResNet10,bank_a,ub,7,4,0.0741278157107132,True
h0,hfl,0,0,ResNet10,bank_a,ub,8,0,0.02185171973428783,True
h0,hfl,0,0,ResNet10,bank_a,ub,9,5,0.013595566405479924,True
h0,hfl,0,0,ResNet10,bank_a,ub,10,4,0.09371144790158874,True
h0,hfl,0,0,ResNet10,bank_a,ub,11,4,0.15995477185216028,True
h0,hfl,0,0,ResNet10,bank_a,ub,12,0,0.09100626574132108,True
h0,hfl,0,0,ResNet10,bank_a,ub,13,4,0.004915386646261052,False
h0,hfl,0,0,ResNet10,bank_a,ub,14,7,0.005343018996138732,True
h0,hfl,0,0,ResNet10,bank_a,ub,15,2,0.025221047373997885,True
h0,hfl,0,0,ResNet10,bank_a,ub,16,6,0.27866851220857053,True
h0,hfl,0,0,ResNet10,bank_a,ub,17,4,0.056027196062641754,True
h0,hfl,0,0,ResNet10,bank_a,ub,18,6,0.12120534755517506,True
h0,hfl,0,0,ResNet10,bank_a,ub,19,6,0.0654621308316734,True
h0,hfl,0,0,ResNet10,bank_a,ub,20,7,0.037100212898018944,True
h0,hfl,0,0,ResNet10,bank_a,ub,21,4,0.0036172786420315545,False
h0,hfl,0,0,ResNet10,bank_a,ub,22,4,0.056991532237891995,True
h0,hfl,0,0,ResNet10,bank_a,ub,23,6,0.0640615877264551,True
h0,hfl,0,0,ResNet10,bank_a,ub,24,0,0.13304713552843894,True
h0,hfl,0,0,ResNet10,bank_a,ub,25,7,0.02474561718552004,True
h0,hfl,0,0,ResNet10,bank_a,ub,26,2,0.010312715616229436,False
h0,hfl,0,0,ResNet10,bank_a,ub,27,4,0.10827146451944421,True
h0,hfl,0,0,ResNet10,bank_a,ub,28,0,0.020804576566528066,False
