level,system,client,architecture,intervention,relative_delta_chi,absolute_delta_dsa,relative_delta_dsa,chi_to_dsa_efficiency
client,h9,0,ResNet10,crsf,0.08936473494751439,0.009445226046422617,0.035766417289100814,0.4002296578186811
client,h9,0,ResNet10,rawspec,0.024086113356155864,-0.0007112825149033775,-0.0026934270406488246,-0.11182489266000427
client,h9,3,Mobilenetv2,crsf,0.021990010819638747,0.0010285185414556364,0.00550237936023624,0.2502217668452531
client,h9,3,Mobilenetv2,rawspec,0.0075246501950250715,0.00021110552909192615,0.0011293745900421075,0.15008997903833382
pooled,h9,-1,Pooled,crsf,0.05369372794598294,0.005236872293939099,0.023223207387435985,0.4325124791260357
pooled,h9,-1,Pooled,rawspec,0.015317779592665419,-0.0002500884929057534,-0.0011090316146688082,-0.07240159110265848
client,l9,0,ResNet10,crsf,0.08936473494751439,0.009445226046422617,0.035766417289100814,0.4002296578186811
client,l9,0,ResNet10,rawspec,0.024086113356155864,-0.0007112825149033775,-0.0026934270406488246,-0.11182489266000427
client,l9,3,Mobilenetv2,crsf,0.024117321216290306,0.000939934925535596,0.005057985213071424,0.20972417159062232
client,l9,3,Mobilenetv2,rawspec,0.006944538888841495,-0.0007095192321403543,-0.0038180704717518184,-0.5497946707284921
pooled,l9,-1,Pooled,crsf,0.054521403106810126,0.0051925804859790925,0.02308261149392039,0.4233678918479118
pooled,l9,-1,Pooled,rawspec,0.014932193939562088,-0.0007104008735218659,-0.0031579495806996587,-0.21148597409606582
