system,client,architecture,class,bound_family,intervention,frozen_class_dsa,intervention_class_dsa,delta_class_dsa,frozen_desc_rank,intervention_desc_rank
h9,0,ResNet10,0,0,crsf,0.09375955181742171,0.09316944944061538,0.0005901023768063313,6.0,6.0
h9,0,ResNet10,1,1,crsf,6.582738226746552e-06,7.304854524809457e-06,-7.221162980629048e-07,19.0,19.0
h9,0,ResNet10,2,2,crsf,0.039792000388524776,0.05259245811787957,-0.012800457729354793,12.0,12.0
h9,0,ResNet10,3,3,crsf,0.0020423189337526702,0.0019253902743507376,0.00011692865940193266,16.0,16.0
h9,0,ResNet10,4,0,crsf,0.41567262173480785,0.375978585368733,0.039694036366074825,1.0,1.0
h9,0,ResNet10,5,1,crsf,0.20959379054379268,0.19351181385003502,0.01608197669375766,3.0,3.0
h9,0,ResNet10,6,2,crsf,0.13673392958897365,0.141407884625261,-0.004673955036287342,5.0,5.0
h9,0,ResNet10,7,3,crsf,0.15872564795429028,0.1599504595532747,-0.00122481159898441,4.0,4.0
h9,0,ResNet10,8,0,crsf,-9.867099190770346e-06,-8.26045337905401e-06,-1.606645811716336e-06,20.0,20.0
h9,0,ResNet10,9,1,crsf,6.842105459644295e-06,7.42888907327755e-06,-5.867836136332543e-07,18.0,18.0
h9,3,Mobilenetv2,0,3,crsf,0.07927608859426878,0.08141638191523969,-0.002140293320970904,7.0,7.0
h9,3,Mobilenetv2,1,0,crsf,0.07276116266301783,0.0735456037152508,-0.0007844410522329787,8.0,8.0
h9,3,Mobilenetv2,2,1,crsf,0.03783327259822715,0.033038899239443274,0.004794373358783875,13.0,13.0
h9,3,Mobilenetv2,3,2,crsf,0.002564847197973226,0.002580204557102359,-1.5357359129133247e-05,15.0,15.0
h9,3,Mobilenetv2,4,3,crsf,0.05844947796636849,0.059665215779048375,-0.0012157378126798832,11.0,11.0
h9,3,Mobilenetv2,5,0,crsf,0.3558954870567591,0.34942666742188194,0.006468819634877165,2.0,2.0
h9,3,Mobilenetv2,6,1,crsf,0.06053848573925525,0.061898383397554484,-0.0013598976582992334,10.0,10.0
h9,3,Mobilenetv2,7,2,crsf,0.00016049172285159826,0.0001577192347710602,2.7724880805380693e-06,17.0,17.0
h9,3,Mobilenetv2,8,3,crsf,0.01638522184095789,0.01776674572360132,-0.0013815238826434331,14.0,14.0
h9,3,Mobilenetv2,9,0,crsf,0.06382549042143357,0.06408013065139705,-0.00025464022996347924,9.0,9.0
h9,0,ResNet10,0,0,rawspec,0.09375955181742171,0.09333554733319283,0.0004240044842288848,6.0,6.0
h9,0,ResNet10,1,1,rawspec,6.582738226746552e-06,5.1910587779626004e-06,1.3916794487839516e-06,19.0,19.0
h9,0,ResNet10,2,2,rawspec,0.039792000388524776,0.04303621891142079,-0.0032442185228960113,12.0,12.0
h9,0,ResNet10,3,3,rawspec,0.0020423189337526702,0.0015455836207300634,0.0004967353130226069,16.0,16.0
h9,0,ResNet10,4,0,rawspec,0.41567262173480785,0.4346214059951399,-0.01894878426033203,1.0,1.0
h9,0,ResNet10,5,1,rawspec,0.20959379054379268,0.1852654094592129,0.02432838108457977,3.0,3.0
h9,0,ResNet10,6,2,rawspec,0.13673392958897365,0.1383699680350752,-0.001636038446101551,5.0,5.0
h9,0,ResNet10,7,3,rawspec,0.15872564795429028,0.1629899836825438,-0.004264335728253521,4.0,4.0
h9,0,ResNet10,8,0,rawspec,-9.867099190770346e-06,-6.15650973298507e-06,-3.7105894577852756e-06,20.0,20.0
h9,0,ResNet10,9,1,rawspec,6.842105459644295e-06,5.397179312053217e-06,1.4449261475910787e-06,18.0,18.0
h9,3,Mobilenetv2,0,3,rawspec,0.07927608859426878,0.072451947883679,0.006824140710589788,7.0,8.0
h9,3,Mobilenetv2,1,0,rawspec,0.07276116266301783,0.0761200725405992,-0.003358909877581376,8.0,7.0
h9,3,Mobilenetv2,2,1,rawspec,0.03783327259822715,0.03979885605582798,-0.001965583457600832,13.0,13.0
h9,3,Mobilenetv2,3,2,rawspec,0.002564847197973226,0.0027180241271030714,-0.00015317692912984564,15.0,15.0
h9,3,Mobilenetv2,4,3,rawspec,0.05844947796636849,0.0642438561991446,-0.005794378232776114,11.0,9.0
h9,3,Mobilenetv2,5,0,rawspec,0.3558954870567591,0.35309032452246447,0.0028051625342946362,2.0,2.0
h9,3,Mobilenetv2,6,1,rawspec,0.06053848573925525,0.05829623432571859,0.002242251413536657,10.0,11.0
h9,3,Mobilenetv2,7,2,rawspec,0.00016049172285159826,0.00020335629159466364,-4.286456874306538e-05,17.0,17.0
h9,3,Mobilenetv2,8,3,rawspec,0.01638522184095789,0.01583789950591905,0.0005473223350388398,14.0,14.0
h9,3,Mobilenetv2,9,0,rawspec,0.06382549042143357,0.06408503223269463,-0.00025954181126106035,9.0,10.0
l9,0,ResNet10,0,0,crsf,0.09375955181742171,0.09316944944061538,0.0005901023768063313,6.0,6.0
l9,0,ResNet10,1,1,crsf,6.582738226746552e-06,7.304854524809457e-06,-7.221162980629048e-07,19.0,19.0
l9,0,ResNet10,2,2,crsf,0.039792000388524776,0.05259245811787957,-0.012800457729354793,13.0,12.0
l9,0,ResNet10,3,3,crsf,0.0020423189337526702,0.0019253902743507376,0.00011692865940193266,16.0,16.0
l9,0,ResNet10,4,0,crsf,0.41567262173480785,0.375978585368733,0.039694036366074825,1.0,1.0
l9,0,ResNet10,5,1,crsf,0.20959379054379268,0.19351181385003502,0.01608197669375766,3.0,3.0
l9,0,ResNet10,6,2,crsf,0.13673392958897365,0.141407884625261,-0.004673955036287342,5.0,5.0
l9,0,ResNet10,7,3,crsf,0.15872564795429028,0.1599504595532747,-0.00122481159898441,4.0,4.0
l9,0,ResNet10,8,0,crsf,-9.867099190770346e-06,-8.26045337905401e-06,-1.606645811716336e-06,20.0,20.0
l9,0,ResNet10,9,1,crsf,6.842105459644295e-06,7.42888907327755e-06,-5.867836136332543e-07,18.0,18.0
l9,3,Mobilenetv2,0,3,crsf,0.07640895892602534,0.0790956795376368,-0.0026867206116114595,7.0,7.0
l9,3,Mobilenetv2,1,0,crsf,0.06973191550553738,0.06993078905783444,-0.0001988735522970575,8.0,8.0
l9,3,Mobilenetv2,2,1,crsf,0.044832621924904004,0.039302939957146996,0.005529681967757008,12.0,13.0
l9,3,Mobilenetv2,3,2,crsf,0.005548147825506738,0.005826088672731216,-0.00027794084722447803,15.0,15.0
l9,3,Mobilenetv2,4,3,crsf,0.06054145844059241,0.06127696593993371,-0.0007355074993413008,10.0,10.0
l9,3,Mobilenetv2,5,0,crsf,0.35557152935702907,0.3490775405297822,0.006493988827246888,2.0,2.0
l9,3,Mobilenetv2,6,1,crsf,0.054497623451847985,0.05756800052543218,-0.0030703770735841934,11.0,11.0
l9,3,Mobilenetv2,7,2,crsf,0.0003428194559831545,0.0003329317411264522,9.887714856702298e-06,17.0,17.0
l9,3,Mobilenetv2,8,3,crsf,0.009569561837651685,0.010102341544724273,-0.0005327797070725886,14.0,14.0
l9,3,Mobilenetv2,9,0,crsf,0.06628290255400793,0.06705452207059501,-0.0007716195165870798,9.0,9.0
l9,0,ResNet10,0,0,rawspec,0.09375955181742171,0.09333554733319283,0.0004240044842288848,6.0,6.0
l9,0,ResNet10,1,1,rawspec,6.582738226746552e-06,5.1910587779626004e-06,1.3916794487839516e-06,19.0,19.0
l9,0,ResNet10,2,2,rawspec,0.039792000388524776,0.04303621891142079,-0.0032442185228960113,13.0,13.0
l9,0,ResNet10,3,3,rawspec,0.0020423189337526702,0.0015455836207300634,0.0004967353130226069,16.0,16.0
l9,0,ResNet10,4,0,rawspec,0.41567262173480785,0.4346214059951399,-0.01894878426033203,1.0,1.0
l9,0,ResNet10,5,1,rawspec,0.20959379054379268,0.1852654094592129,0.02432838108457977,3.0,3.0
l9,0,ResNet10,6,2,rawspec,0.13673392958897365,0.1383699680350752,-0.001636038446101551,5.0,5.0
l9,0,ResNet10,7,3,rawspec,0.15872564795429028,0.1629899836825438,-0.004264335728253521,4.0,4.0
l9,0,ResNet10,8,0,rawspec,-9.867099190770346e-06,-6.15650973298507e-06,-3.7105894577852756e-06,20.0,20.0
l9,0,ResNet10,9,1,rawspec,6.842105459644295e-06,5.397179312053217e-06,1.4449261475910787e-06,18.0,18.0
l9,3,Mobilenetv2,0,3,rawspec,0.07640895892602534,0.07298969200994426,0.0034192669160810762,7.0,8.0
l9,3,Mobilenetv2,1,0,rawspec,0.06973191550553738,0.07336141824403455,-0.003629502738497173,8.0,7.0
l9,3,Mobilenetv2,2,1,rawspec,0.044832621924904004,0.04725349762004866,-0.002420875695144653,12.0,12.0
l9,3,Mobilenetv2,3,2,rawspec,0.005548147825506738,0.005568230448785293,-2.0082623278554895e-05,15.0,15.0
l9,3,Mobilenetv2,4,3,rawspec,0.06054145844059241,0.06583467008746212,-0.00529321164686971,10.0,10.0
l9,3,Mobilenetv2,5,0,rawspec,0.35557152935702907,0.3530389746172038,0.002532554739825277,2.0,2.0
l9,3,Mobilenetv2,6,1,rawspec,0.054497623451847985,0.05102286215855581,0.003474761293292175,11.0,11.0
l9,3,Mobilenetv2,7,2,rawspec,0.0003428194559831545,0.0003893140769189273,-4.64946209357728e-05,17.0,17.0
l9,3,Mobilenetv2,8,3,rawspec,0.009569561837651685,0.00989602928695967,-0.00032646744930798534,14.0,14.0
l9,3,Mobilenetv2,9,0,rawspec,0.06628290255400793,0.06681092765773418,-0.0005280251037262512,9.0,9.0
