system,client,architecture,half,arm,trace,lambda1,lambda1_over_trace,top2_over_trace,top4_over_trace,top8_over_trace,effective_rank_participation,chi,tail_sum,principal_vector_abs_cosine_vs_frozen,trace_relative_change_vs_frozen,lambda1_relative_change_vs_frozen,tail_relative_change_vs_frozen,top1_share_change_vs_frozen
h9,0,ResNet10,u1,frozen,23.040192649123075,17.086229090111622,0.7415836035017674,0.8449485922280758,0.9331212564383393,0.9810712221747167,1.7680596362814553,0.5655917817925974,5.953963559011461,1.0,0.0,0.0,0.0,0.0
h9,0,ResNet10,u1,crsf,21.920078798168134,15.407617820528673,0.7028997460454517,0.8276579550851597,0.9231775478020575,0.9780837044099462,1.9399398418454772,0.5154799022266039,6.512460977639461,0.9994490355701642,-0.04861564605873955,-0.09824351884374644,0.09380262628290714,-0.03868385745631575
h9,0,ResNet10,u1,rawspec,23.057678717610866,16.8878515688157,0.732417680705959,0.8373371616902712,0.9266754784159164,0.9794586967702932,1.8096525544076492,0.5525922628431448,6.16982714879516,0.998514778430304,0.0007589375989205047,-0.011610374661939225,0.03625544356195872,-0.009165922795808412
h9,0,ResNet10,u2,frozen,22.538753301121737,16.63145186954384,0.7379046945207971,0.8432290866448002,0.9317442188362144,0.9808324520930469,1.7838309499095173,0.560591237667854,5.907301431577897,1.0,0.0,0.0,0.0,0.0
h9,0,ResNet10,u2,crsf,21.465625584433635,14.99339819949552,0.698484101500791,0.8261760183173057,0.9219477065350995,0.9778963162410359,1.960545703022067,0.5100620701973733,6.472227384938115,0.9993860433566514,-0.047612558793777356,-0.09849132131681114,0.09563181427315802,-0.03942059302000611
h9,0,ResNet10,u2,rawspec,22.56961825360548,16.426375497361303,0.7278091863488741,0.8351828435517482,0.9251514768453785,0.9791795608792022,1.829942074841599,0.5464653847508045,6.143242756244181,0.9985059978549354,0.0013694170245967705,-0.012330635580774692,0.03994062727272432,-0.010095508171922951
h9,3,Mobilenetv2,u1,frozen,18.568080867250707,14.639984563581603,0.788448987714328,0.8805082178134034,0.9486307802699577,0.9897082090479872,1.5790832393294998,0.6332788386916282,3.9280963036691063,1.0,0.0,0.0,0.0,0.0
h9,3,Mobilenetv2,u1,crsf,18.297661908877334,14.249793483054543,0.778776739564801,0.8757523607628647,0.9467709995136717,0.9894851419303127,1.6147388320822964,0.619295195069065,4.047868425822792,0.9999583342081888,-0.014563646092813073,-0.026652424313185336,0.030491136900541574,-0.009672248149527052
h9,3,Mobilenetv2,u1,rawspec,18.412171823191496,14.454734098683216,0.7850640455395059,0.8787370000542359,0.9472232405656124,0.989433071132816,1.5916156514141646,0.6282923890020126,3.957437724508283,0.9999338109428524,-0.008396615954758902,-0.012653733622043226,0.007469628688016023,-0.003384942174822103
h9,3,Mobilenetv2,u2,frozen,18.790247712037296,14.816770525115082,0.788535135469409,0.8840708249018009,0.9493044004223712,0.9900421605054889,1.5777083699592414,0.633830699665892,3.9734771869222127,1.0,0.0,0.0,0.0,0.0
h9,3,Mobilenetv2,u2,crsf,18.515110195745976,14.422007778400602,0.7789317819838953,0.879184464604584,0.9474123042291247,0.9898177473941988,1.6130317718718374,0.6199505908303053,4.093102417345374,0.9999630921485273,-0.014642569938823262,-0.02664296825312508,0.03010593110157534,-0.009603353485513666
h9,3,Mobilenetv2,u2,rawspec,18.646121406262512,14.645432954876432,0.7854412526756153,0.8825796741804625,0.9479021496719338,0.9897727712963497,1.5891111729679641,0.6292825933205868,4.000688451386076,0.9999425427902261,-0.0076702717273095826,-0.011563759454074396,0.0068482246616196,-0.003093882793793745
l9,0,ResNet10,u1,frozen,23.040192649123075,17.086229090111622,0.7415836035017674,0.8449485922280758,0.9331212564383393,0.9810712221747167,1.7680596362814553,0.5655917817925974,5.953963559011461,1.0,0.0,0.0,0.0,0.0
l9,0,ResNet10,u1,crsf,21.920078798168134,15.407617820528673,0.7028997460454517,0.8276579550851597,0.9231775478020575,0.9780837044099462,1.9399398418454772,0.5154799022266039,6.512460977639461,0.9994490355701642,-0.04861564605873955,-0.09824351884374644,0.09380262628290714,-0.03868385745631575
l9,0,ResNet10,u1,rawspec,23.057678717610866,16.8878515688157,0.732417680705959,0.8373371616902712,0.9266754784159164,0.9794586967702932,1.8096525544076492,0.5525922628431448,6.16982714879516,0.998514778430304,0.0007589375989205047,-0.011610374661939225,0.03625544356195872,-0.009165922795808412
l9,0,ResNet10,u2,frozen,22.538753301121737,16.63145186954384,0.7379046945207971,0.8432290866448002,0.9317442188362144,0.9808324520930469,1.7838309499095173,0.560591237667854,5.907301431577897,1.0,0.0,0.0,0.0,0.0
l9,0,ResNet10,u2,crsf,21.465625584433635,14.99339819949552,0.698484101500791,0.8261760183173057,0.9219477065350995,0.9778963162410359,1.960545703022067,0.5100620701973733,6.472227384938115,0.9993860433566514,-0.047612558793777356,-0.09849132131681114,0.09563181427315802,-0.03942059302000611
l9,0,ResNet10,u2,rawspec,22.56961825360548,16.426375497361303,0.7278091863488741,0.8351828435517482,0.9251514768453785,0.9791795608792022,1.829942074841599,0.5464653847508045,6.143242756244181,0.9985059978549354,0.0013694170245967705,-0.012330635580774692,0.03994062727272432,-0.010095508171922951
l9,3,Mobilenetv2,u1,frozen,17.660445596026403,14.092005688264504,0.7979416833873774,0.8830860692779783,0.945420936551073,0.990941069045513,1.5464152646973195,0.6466568345700664,3.5684399077619,1.0,0.0,0.0,0.0,0.0
l9,3,Mobilenetv2,u1,crsf,17.287894245291184,13.611465698874703,0.7873408701919926,0.8752393794065438,0.9423828822200782,0.9905680650229246,1.5854343524668748,0.6307419783380109,3.676428546416484,0.9999750800536492,-0.02109524070100713,-0.03410018417676223,0.030262142966087882,-0.01060081319538475
l9,3,Mobilenetv2,u1,rawspec,17.602783755054105,13.985713701289766,0.7945171568260726,0.8819817981111236,0.9441332501242256,0.9908299583805178,1.5585568883070713,0.6416191847101683,3.61707005376434,0.9999563635475659,-0.0032650275248587977,-0.0075427153044122525,0.013627845013352227,-0.0034245265613047637
l9,3,Mobilenetv2,u2,frozen,17.691031039602205,14.07934098598936,0.7958462655156782,0.8854665191058007,0.9457811400579395,0.9910200494519437,1.5528955501588817,0.6439583138078326,3.611690053612846,1.0,0.0,0.0,0.0,0.0
l9,3,Mobilenetv2,u2,crsf,17.31342750856131,13.603912377110035,0.7857434566542668,0.8772101519497804,0.9427696797831172,0.9906576802210567,1.5904648706082354,0.6287469899398493,3.709515131451279,0.9999784186338081,-0.021344348455192372,-0.03376781692782591,0.02708567911041438,-0.01010280886141135
l9,3,Mobilenetv2,u2,rawspec,17.644916747934964,13.995718036970294,0.7931869691937341,0.8844310689829324,0.9447484180230494,0.9909086631591958,1.5624188602213493,0.6400332365792929,3.6491987109646704,0.9999461241045509,-0.002606648055956252,-0.005939407895744622,0.010385347799793545,-0.00265929632194406
