role,path,exists,bytes,sha256,schema,p3a_compatibility,reason
existing round-40 real-corruption DSA tensor,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_shortcut_amplification_phase_a1a_seed0/extracted/outputs/cle_shortcut_amplification_phase_a1a_seed0_analysis/round_040_predictions.npz,True,9680699,015DE2277622A8318EB9A3E5430749B5226691A07A4477B31D142455CFA5C703,"{""binding"": {""dtype"": ""int64"", ""shape"": [4, 10]}, ""bootstrap_amplification"": {""dtype"": ""float64"", ""shape"": [2000]}, ""labels"": {""dtype"": ""int64"", ""shape"": [1000]}, ""operator_family_ids"": {""dtype"": ""int64"", ""shape"": [16]}, ""operator_names"": {""dtype"": ""<U16"", ""shape"": [16]}, ""probabilities"": {""dtype"": ""float32"", ""shape"": [4, 4, 1000, 16, 10]}}",CORRUPT_ONLY,"Contains four arms x four clients and task labels/binding, but no paired clean/base output."
existing PNCB real-corruption tensor,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_canonicalization_phase_b0_seed0/formal_extracted/outputs/cle_public_canonicalization_phase_b0_seed0_formal/analysis/cle_public_canonicalization_phase_b0_predictions.npz,True,29002897,74D7D6FC36D81A299D707CCE37FB6DD65586042403F8552DA215BCA751483909,"{""binding"": {""dtype"": ""int64"", ""shape"": [4, 10]}, ""h0_canonical_probabilities"": {""dtype"": ""float32"", ""shape"": [4, 1000, 16, 10]}, ""h0_original_probabilities"": {""dtype"": ""float32"", ""shape"": [4, 1000, 16, 10]}, ""h0_overlay_probabilities"": {""dtype"": ""float32"", ""shape"": [4, 1000, 16, 10]}, ""h9_canonical_probabilities"": {""dtype"": ""float32"", ""shape"": [4, 1000, 16, 10]}, ""h9_original_probabilities"": {""dtype"": ""float32"", ""shape"": [4, 1000, 16, 10]}, ""h9_overlay_probabilities"": {""dtype"": ""float32"", ""shape"": [4, 1000, 16, 10]}, ""l0_canonical_probabilities"": {""dtype"": ""float32"", ""shape"": [4, 1000, 16, 10]}, ""l0_original_probabilities"": {""dtype"": ""float32"", ""shape"": [4, 1000, 16, 10]}, ""l0_overlay_probabilities"": {""dtype"": ""float32"", ""shape"": [4, 1000, 16, 10]}, ""l9_canonical_probabilities"": {""dtype"": ""float32"", ""shape"": [4, 1000, 16, 10]}, ""l9_original_probabilities"": {""dtype"": ""float32"", ""shape"": [4, 1000, 16, 10]}, ""l9_overlay_probabilities"": {""dtype"": ""float32"", ""shape"": [4, 1000, 16, 10]}, ""labels"": {""dtype"": ""int64"", ""shape"": [1000]}, ""operator_family_ids"": {""dtype"": ""int64"", ""shape"": [16]}}",CORRUPT_ONLY,"Contains original/overlay/canonical corruption probabilities for all arms, but no paired clean/base output."
K1-C-Minimal paired real-corruption output,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_k1_c_minimal_formal_seed0/extracted/outputs/cle_k1_c_minimal_seed0_formal/oracle_predictions/h9_ab_frozen.npz,True,1286443,C93158DA5A0AE5E73BAFFC277251FCAF52487094F56FA32034CE29CA97B6C807,"{""binding"": {""dtype"": ""int64"", ""shape"": [2, 10]}, ""clean_probabilities"": {""dtype"": ""float32"", ""shape"": [2, 1000, 10]}, ""labels"": {""dtype"": ""int64"", ""shape"": [1000]}, ""operator_family_ids"": {""dtype"": ""int64"", ""shape"": [16]}, ""probabilities"": {""dtype"": ""float32"", ""shape"": [2, 1000, 16, 10]}, ""selected_client_ids"": {""dtype"": ""int64"", ""shape"": [2]}, ""severities"": {""dtype"": ""uint8"", ""shape"": [1000, 16]}}",PARTIAL_COMPATIBLE,Contains internally paired clean/corrupt probabilities only for clients 0 and 3 in the strong-CLE arm.
K1-C-Minimal paired real-corruption output,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_k1_c_minimal_formal_seed0/extracted/outputs/cle_k1_c_minimal_seed0_formal/oracle_predictions/l9_ab_frozen.npz,True,1292419,621D86D2CCB791406D31B72997ED3515CDA1BC50FB4F15474F7353502548FA33,"{""binding"": {""dtype"": ""int64"", ""shape"": [2, 10]}, ""clean_probabilities"": {""dtype"": ""float32"", ""shape"": [2, 1000, 10]}, ""labels"": {""dtype"": ""int64"", ""shape"": [1000]}, ""operator_family_ids"": {""dtype"": ""int64"", ""shape"": [16]}, ""probabilities"": {""dtype"": ""float32"", ""shape"": [2, 1000, 16, 10]}, ""selected_client_ids"": {""dtype"": ""int64"", ""shape"": [2]}, ""severities"": {""dtype"": ""uint8"", ""shape"": [1000, 16]}}",PARTIAL_COMPATIBLE,Contains internally paired clean/corrupt probabilities only for clients 0 and 3 in the strong-CLE arm.
K0-A real-operator public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_carrier_k0a_seed0/formal_extracted/outputs/cle_public_carrier_k0a_seed0_formal/responses/h0_client0.npz,True,3030607,F9916ADA84A7259936A09742ECD34665FCB89F04697097D956276F9C6EB015AB,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_raw_logit_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""mean_response"": {""dtype"": ""float32"", ""shape"": [16, 10]}, ""probability_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}}",INCOMPATIBLE_ENDPOINT,"Has base/operator logits, but carriers are unlabeled CIFAR-100 public images rather than the CIFAR-10 CLE DSA sources."
K0-B generic-probe public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_generic_probe_k0b_seed0/formal_extracted/outputs/cle_generic_probe_k0b_seed0_formal/responses/h0_client0.npz,True,14357912,3F87BBB92B409DBA6D61CDFCB8DD83D4B845B7AC69A6F84B8B9A38820763B888,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}}",INCOMPATIBLE_INTERVENTION_DOMAIN,"Has base/PRIME logits for routing design, but not real-corruption logits for DSA evaluation."
K0-A real-operator public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_carrier_k0a_seed0/formal_extracted/outputs/cle_public_carrier_k0a_seed0_formal/responses/h0_client1.npz,True,3029021,948CDC0BDA8A78B5CA2DA16D72F4B45FFA41431A2C78483554B9FC2536AFE29C,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_raw_logit_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""mean_response"": {""dtype"": ""float32"", ""shape"": [16, 10]}, ""probability_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}}",INCOMPATIBLE_ENDPOINT,"Has base/operator logits, but carriers are unlabeled CIFAR-100 public images rather than the CIFAR-10 CLE DSA sources."
K0-B generic-probe public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_generic_probe_k0b_seed0/formal_extracted/outputs/cle_generic_probe_k0b_seed0_formal/responses/h0_client1.npz,True,14359680,4C22DCFEBE484C5656816D65265646D708AA6A8DFAC1F2986342D0516EA1E71E,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}}",INCOMPATIBLE_INTERVENTION_DOMAIN,"Has base/PRIME logits for routing design, but not real-corruption logits for DSA evaluation."
K0-A real-operator public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_public_carrier_k0a_seed0/formal_extracted/outputs/cle_public_carrier_k0a_seed0_formal/responses/h0_client2.npz,True,3035532,236679FDC893DB5BE17E7918EF18466424D06B93D98216517BBFA76AF20E70F9,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_raw_logit_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""mean_response"": {""dtype"": ""float32"", ""shape"": [16, 10]}, ""probability_response"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 16, 10]}}",INCOMPATIBLE_ENDPOINT,"Has base/operator logits, but carriers are unlabeled CIFAR-100 public images rather than the CIFAR-10 CLE DSA sources."
K0-B generic-probe public-carrier response,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_generic_probe_k0b_seed0/formal_extracted/outputs/cle_generic_probe_k0b_seed0_formal/responses/h0_client2.npz,True,14410593,6935EDE3FB9B1CE40A52E8FA5F9682669881BC536EA37E998F1766809D232B81,"{""base_logits"": {""dtype"": ""float32"", ""shape"": [1000, 10]}, ""centered_response"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""class_vs_rest_delta"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}, ""probe_logits"": {""dtype"": ""float32"", ""shape"": [1000, 128, 10]}}",INCOMPATIBLE_INTERVENTION_DOMAIN,"Has base/PRIME logits for routing design, but not real-corruption logits for DSA evaluation."
