arm,system,gamma,client,model,real_corruption_probabilities,paired_clean_probabilities,centered_logit_response_legally_recoverable,source,reason
h0,hfl,0,0,ResNet10,True,False,False,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_shortcut_amplification_phase_a1a_seed0/extracted/outputs/cle_shortcut_amplification_phase_a1a_seed0_analysis/round_040_predictions.npz,No clean/base output exists for the same model and CIFAR-10 source identities.
h0,hfl,0,1,ResNet12,True,False,False,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_shortcut_amplification_phase_a1a_seed0/extracted/outputs/cle_shortcut_amplification_phase_a1a_seed0_analysis/round_040_predictions.npz,No clean/base output exists for the same model and CIFAR-10 source identities.
h0,hfl,0,2,ShuffleNet,True,False,False,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_shortcut_amplification_phase_a1a_seed0/extracted/outputs/cle_shortcut_amplification_phase_a1a_seed0_analysis/round_040_predictions.npz,No clean/base output exists for the same model and CIFAR-10 source identities.
h0,hfl,0,3,Mobilenetv2,True,False,False,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_shortcut_amplification_phase_a1a_seed0/extracted/outputs/cle_shortcut_amplification_phase_a1a_seed0_analysis/round_040_predictions.npz,No clean/base output exists for the same model and CIFAR-10 source identities.
h9,hfl,9,0,ResNet10,True,True,True,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_k1_c_minimal_formal_seed0/extracted/outputs/cle_k1_c_minimal_seed0_formal/oracle_predictions/h9_ab_frozen.npz,Internally paired clean and corrupted probabilities are strictly positive; centered logits are recoverable up to common shift.
h9,hfl,9,1,ResNet12,True,False,False,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_shortcut_amplification_phase_a1a_seed0/extracted/outputs/cle_shortcut_amplification_phase_a1a_seed0_analysis/round_040_predictions.npz,No clean/base output exists for the same model and CIFAR-10 source identities.
h9,hfl,9,2,ShuffleNet,True,False,False,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_shortcut_amplification_phase_a1a_seed0/extracted/outputs/cle_shortcut_amplification_phase_a1a_seed0_analysis/round_040_predictions.npz,No clean/base output exists for the same model and CIFAR-10 source identities.
h9,hfl,9,3,Mobilenetv2,True,True,True,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_k1_c_minimal_formal_seed0/extracted/outputs/cle_k1_c_minimal_seed0_formal/oracle_predictions/h9_ab_frozen.npz,Internally paired clean and corrupted probabilities are strictly positive; centered logits are recoverable up to common shift.
l0,local,0,0,ResNet10,True,False,False,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_shortcut_amplification_phase_a1a_seed0/extracted/outputs/cle_shortcut_amplification_phase_a1a_seed0_analysis/round_040_predictions.npz,No clean/base output exists for the same model and CIFAR-10 source identities.
l0,local,0,1,ResNet12,True,False,False,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_shortcut_amplification_phase_a1a_seed0/extracted/outputs/cle_shortcut_amplification_phase_a1a_seed0_analysis/round_040_predictions.npz,No clean/base output exists for the same model and CIFAR-10 source identities.
l0,local,0,2,ShuffleNet,True,False,False,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_shortcut_amplification_phase_a1a_seed0/extracted/outputs/cle_shortcut_amplification_phase_a1a_seed0_analysis/round_040_predictions.npz,No clean/base output exists for the same model and CIFAR-10 source identities.
l0,local,0,3,Mobilenetv2,True,False,False,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_shortcut_amplification_phase_a1a_seed0/extracted/outputs/cle_shortcut_amplification_phase_a1a_seed0_analysis/round_040_predictions.npz,No clean/base output exists for the same model and CIFAR-10 source identities.
l9,local,9,0,ResNet10,True,True,True,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_k1_c_minimal_formal_seed0/extracted/outputs/cle_k1_c_minimal_seed0_formal/oracle_predictions/l9_ab_frozen.npz,Internally paired clean and corrupted probabilities are strictly positive; centered logits are recoverable up to common shift.
l9,local,9,1,ResNet12,True,False,False,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_shortcut_amplification_phase_a1a_seed0/extracted/outputs/cle_shortcut_amplification_phase_a1a_seed0_analysis/round_040_predictions.npz,No clean/base output exists for the same model and CIFAR-10 source identities.
l9,local,9,2,ShuffleNet,True,False,False,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_shortcut_amplification_phase_a1a_seed0/extracted/outputs/cle_shortcut_amplification_phase_a1a_seed0_analysis/round_040_predictions.npz,No clean/base output exists for the same model and CIFAR-10 source identities.
l9,local,9,3,Mobilenetv2,True,True,True,C:/Users/asus/Desktop/FedPRIME-D2C/outputs/openi_downloads/cle_k1_c_minimal_formal_seed0/extracted/outputs/cle_k1_c_minimal_seed0_formal/oracle_predictions/l9_ab_frozen.npz,Internally paired clean and corrupted probabilities are strictly positive; centered logits are recoverable up to common shift.
