arm,client,model,max_row_norm_abs_error,pairwise_gram_subset_max_abs_error,singular_spectrum_similarity_max_abs_error,chi_out_abs_error,raw_energy_abs_error,raw_energy_relative_error,k0b_K_target_abs_error,k0b_selectivity_target_abs_error,k0b_R_target_abs_error,k0b_random_max_metric_abs_error,random_coordinate_bijections_certified
h0,0,ResNet10,1.7763568394002505e-15,3.552713678800501e-15,4.092726157978177e-11,2.220446049250313e-16,0.0,0.0,1.3877787807814457e-17,0.0,1.3877787807814457e-17,5.551115123125783e-17,True
h0,1,ResNet12,1.7763568394002505e-15,7.105427357601002e-15,3.3651303965598345e-11,1.6653345369377348e-16,7.275957614183426e-12,1.5902888261395056e-16,1.3877787807814457e-17,0.0,6.938893903907228e-18,2.7755575615628914e-17,True
h0,2,ShuffleNet,8.881784197001252e-16,3.552713678800501e-15,1.318767317570746e-11,5.828670879282072e-16,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,True
h0,3,Mobilenetv2,8.881784197001252e-16,1.7763568394002505e-15,2.091837814077735e-11,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,True
h9,0,ResNet10,3.552713678800501e-15,2.842170943040401e-14,3.637978807091713e-10,4.440892098500626e-16,0.0,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,True
h9,1,ResNet12,3.552713678800501e-15,1.4210854715202004e-14,1.9281287677586079e-10,3.885780586188048e-16,2.9103830456733704e-11,1.7302577720731283e-16,0.0,0.0,0.0,5.551115123125783e-17,True
h9,2,ShuffleNet,1.7763568394002505e-15,1.4210854715202004e-14,6.184563972055912e-11,4.996003610813204e-16,1.4551915228366852e-11,2.1558992656925554e-16,0.0,0.0,0.0,5.551115123125783e-17,True
h9,3,Mobilenetv2,1.7763568394002505e-15,7.105427357601002e-15,1.8553691916167736e-10,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,True
l0,0,ResNet10,1.7763568394002505e-15,1.4210854715202004e-14,1.2369127944111824e-10,9.992007221626409e-16,1.4551915228366852e-11,1.1246801005642332e-16,0.0,0.0,6.938893903907228e-18,5.551115123125783e-17,True
l0,1,ResNet12,1.7763568394002505e-15,7.105427357601002e-15,5.093170329928398e-11,7.494005416219807e-16,1.4551915228366852e-11,1.6557233956883475e-16,0.0,0.0,1.3877787807814457e-17,2.7755575615628914e-17,True
l0,2,ShuffleNet,3.552713678800501e-15,1.4210854715202004e-14,1.0368239600211382e-10,3.3306690738754696e-16,2.9103830456733704e-11,3.4244347703933143e-16,0.0,0.0,0.0,2.7755575615628914e-17,True
l0,3,Mobilenetv2,1.7763568394002505e-15,7.105427357601002e-15,8.913048077374697e-11,5.551115123125783e-16,7.275957614183426e-12,1.2442634588832774e-16,0.0,0.0,1.3877787807814457e-17,2.7755575615628914e-17,True
l9,0,ResNet10,3.552713678800501e-15,2.842170943040401e-14,3.637978807091713e-10,4.440892098500626e-16,0.0,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,True
l9,1,ResNet12,3.552713678800501e-15,2.842170943040401e-14,1.673470251262188e-10,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,1.6653345369377348e-16,True
l9,2,ShuffleNet,3.552713678800501e-15,5.684341886080802e-14,1.709850039333105e-10,9.992007221626409e-16,0.0,0.0,5.551115123125783e-17,1.3877787807814457e-17,0.0,5.551115123125783e-17,True
l9,3,Mobilenetv2,1.7763568394002505e-15,1.4210854715202004e-14,1.1641532182693481e-10,1.0547118733938987e-15,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,True
