arm,client,model,identity_dsa,targeted_dsa,absolute_reduction,random_mean,random_q10,targeted_percentile
h0,0,ResNet10,0.0035373679738539563,0.00031952180065205097,0.0032178461732019054,-9.728607171310548e-05,-0.00585427934423528,0.524
h0,1,ResNet12,-0.0002503463464418517,-0.005601595407463656,0.005351249061021804,0.00023521475788785564,-0.004536619111887091,0.058
h0,2,ShuffleNet,0.004951449070876885,0.0012559911994905553,0.00369545787138633,-0.0007512035778293677,-0.005209480386870606,0.736
h0,3,Mobilenetv2,-0.0021471341068944657,0.004630879385117857,-0.006778013492012323,0.0004689764931665675,-0.0037999550889076684,0.849
h9,0,ResNet10,0.26408085435478656,-0.04763611585006155,0.3117169702048481,-0.014941953951284307,-0.05191343962035141,0.142
h9,1,ResNet12,0.2640658209984269,-0.023479184709963245,0.28754500570839014,-0.021822056657849295,-0.052749728631898106,0.543
h9,2,ShuffleNet,0.10201279252818371,0.01259087512074694,0.08942191740743677,-0.007086672921783007,-0.026572809059617918,0.878
h9,3,Mobilenetv2,0.1869225069841569,0.005644454098897128,0.18127805288525978,-0.01474760603029253,-0.051288636180063865,0.754
l0,0,ResNet10,0.0007682998609864084,0.0042670654975041885,-0.00349876563651778,-0.0009064085114068212,-0.015775224784236326,0.611
l0,1,ResNet12,-0.0027588409895852963,-0.003322704310337827,0.0005638633207525308,0.0006370023660604218,-0.008488249966977474,0.306
l0,2,ShuffleNet,0.008151684813691157,-0.005091983987571276,0.013243668801262433,-0.0013240063464671796,-0.0063809897768349185,0.177
l0,3,Mobilenetv2,-0.0028675398228692126,0.0009971684772043807,-0.0038647083000735933,0.0005968188112912378,-0.005377612550021994,0.57
l9,0,ResNet10,0.26408085435478656,-0.04763611585006155,0.3117169702048481,-0.017641549854004873,-0.053797390586501126,0.173
l9,1,ResNet12,0.2639512371404141,-0.08900636586899081,0.3529576030094049,-0.026112356870939244,-0.06707709275720568,0.006
l9,2,ShuffleNet,0.10689314000847358,-0.04386040590907722,0.1507535459175508,-0.009900342967679526,-0.03140924801124995,0.004
l9,3,Mobilenetv2,0.18583188358960082,-0.06554769921407352,0.25137958280367434,-0.019828031689475133,-0.06338982417434134,0.074
