arm,client,model,ranking_descending_g,target_new_coordinate_to_old_coordinate,g_class_0,g_class_1,g_class_2,g_class_3,g_class_4,g_class_5,g_class_6,g_class_7,g_class_8,g_class_9,k0b_response_sha256
h0,0,ResNet10,4;0;6;8;7;2;9;1;5;3,5;6;7;4;3;0;1;2;9;8,0.010046277854636167,0.00042770211471923196,0.0014111626129503585,0.00014669254302771697,0.012441213377919232,0.0004260666763524207,0.005739520785624797,0.0017623138844681597,0.0024483237213882613,0.0004485797973475682,3F87BBB92B409DBA6D61CDFCB8DD83D4B845B7AC69A6F84B8B9A38820763B888
h0,1,ResNet12,3;0;5;8;4;2;7;1;6;9,6;5;4;9;2;1;0;8;7;3,0.005987959733353816,0.0007614216649255885,0.0034768560969112763,0.011436181403472474,0.003932859134828468,0.005298149835536441,0.0007083368370946031,0.0015066008623518855,0.0051736743940663426,0.0003526360772365049,4C22DCFEBE484C5656816D65265646D708AA6A8DFAC1F2986342D0516EA1E71E
h0,2,ShuffleNet,8;3;6;0;7;9;4;5;1;2,4;3;8;1;0;6;5;9;2;7,0.00464270902100946,0.0005699520377736615,0.00021814632552409377,0.009409407540692067,0.0010378545632840088,0.0007236039048903765,0.008675150146736687,0.0032946745062949253,0.012800473434718159,0.0019343719928777239,6935EDE3FB9B1CE40A52E8FA5F9682669881BC536EA37E998F1766809D232B81
h0,3,Mobilenetv2,6;0;8;4;9;3;5;2;7;1,7;6;8;9;5;4;1;0;2;3,0.008455965641574888,0.0005070713326056454,0.0011885249685579622,0.0016894246560050842,0.00529907048683898,0.001433402004961713,0.008482151337742388,0.0005182684640615775,0.008348999026759014,0.0028215651824435996,CDC8A02C8F47B1A1866EF55D56B1F7BF46DE10462B86F533709CF5D6F3D1E899
h9,0,ResNet10,4;0;6;2;5;9;8;1;7;3,7;6;8;4;3;9;1;0;2;5,0.07097795650220849,0.0032245777995498917,0.005934648980991258,0.00029547403567629487,0.09966573532058863,0.00514719990001143,0.011233546534395192,0.002455684865685532,0.0032460071620665377,0.003341558386141858,CA3A80F4192F04924300FA303525AA11B2513AB247F2E1F011B514336AE47C1B
h9,1,ResNet12,3;7;5;1;0;8;4;9;2;6,8;4;7;6;1;9;3;2;0;5,0.004061818065107777,0.005415670776816756,0.0010605917452213,0.16176441061237246,0.002546764324045641,0.012742513443350348,0.0006458080437673669,0.019988421132769024,0.0034603616687200345,0.002311965619027417,7DCB3C582271E841C07B1F41B31092BDD73F749BFC95CFFA2E8A1B929D81819C
h9,2,ShuffleNet,6;2;8;0;3;7;9;1;4;5,9;8;4;7;2;6;5;3;1;0,0.012698003613956892,0.0029199580942022036,0.030455867319085988,0.007826908376163726,0.001595702317938797,0.00033813330725828333,0.054698678915920076,0.003395291153689997,0.02893512439528523,0.0033103971622235875,AC860560337A25DC7C7B3C572DC1D1E4699B090F58518F4351F97D1B3138A02B
h9,3,Mobilenetv2,5;9;1;4;6;0;8;3;2;7,6;3;9;1;8;7;0;5;4;2,0.004402025605212368,0.017396942573889393,0.001593670837792586,0.0017036136030340323,0.006788366051199731,0.11130768647849293,0.0066896441560246435,0.001390797002418168,0.003087509419963327,0.020015462292242398,A7ABC8727FD1FD107AB1A5F3B3BE5C909DD865FD5D2840100281A34503BBF316
l0,0,ResNet10,0;9;1;8;4;6;2;3;7;5,5;3;8;1;6;0;4;9;2;7,0.010428162868484062,0.00918629916405018,0.0013319626860705668,0.0010682142032574847,0.0044195710971613724,0.0007478802478935148,0.00309896054888498,0.0010648364415696897,0.009168697012268317,0.010044679040941478,28130E3133A587E757143D6CA700150BA1728E4BFC1EECA6C83585A6AB16B9F1
l0,1,ResNet12,9;3;5;8;4;6;0;2;7;1,8;9;5;7;6;2;4;3;0;1,0.0021649763809954013,0.0012970142462423093,0.0017370357138195534,0.0067122198396539585,0.0036195304429801458,0.005363660427081623,0.002665671305857471,0.0016832660714033874,0.003745146785280604,0.007461083898298363,B416E4ED0B517EB1A7F5952168B5985E79184596E64F5892091545D9FB4DA030
