arm,client,model,bound_class,binding_family,output_class,mean_centered_logit_response
h0,0,ResNet10,0,0,0,-0.18307416487999173
h0,0,ResNet10,0,0,1,0.1476643160726019
h0,0,ResNet10,0,0,2,-0.016783880265769987
h0,0,ResNet10,0,0,3,-0.011477044212420065
h0,0,ResNet10,0,0,4,0.27706409903101437
h0,0,ResNet10,0,0,5,-0.40028924079573985
h0,0,ResNet10,0,0,6,-0.02324502696386579
h0,0,ResNet10,0,0,7,-0.046451411375262534
h0,0,ResNet10,0,0,8,0.10730247752723154
h0,0,ResNet10,0,0,9,0.14928987586220138
h0,0,ResNet10,1,1,0,0.0027169647816852245
h0,0,ResNet10,1,1,1,-0.0018776636376263089
h0,0,ResNet10,1,1,2,-0.036362640372194256
h0,0,ResNet10,1,1,3,-0.023790308492645046
h0,0,ResNet10,1,1,4,0.16978427952984007
h0,0,ResNet10,1,1,5,0.009451323320264987
h0,0,ResNet10,1,1,6,-0.14695576748718603
h0,0,ResNet10,1,1,7,-6.576943679042031e-05
h0,0,ResNet10,1,1,8,0.014859619554940655
h0,0,ResNet10,1,1,9,0.012239962239710831
h0,0,ResNet10,2,2,0,-0.01298046546453846
h0,0,ResNet10,2,2,1,0.08193273793196684
h0,0,ResNet10,2,2,2,0.040778708835476365
h0,0,ResNet10,2,2,3,0.016415509194517473
h0,0,ResNet10,2,2,4,0.05838661094244871
h0,0,ResNet10,2,2,5,-0.20670878149684566
h0,0,ResNet10,2,2,6,-0.060761867706935965
h0,0,ResNet10,2,2,7,-0.10016394926347892
h0,0,ResNet10,2,2,8,0.10719698020078156
h0,0,ResNet10,2,2,9,0.07590451682660754
h0,0,ResNet10,3,3,0,-0.14221270686893706
h0,0,ResNet10,3,3,1,0.12039597065398627
h0,0,ResNet10,3,3,2,-0.07162275614992591
h0,0,ResNet10,3,3,3,0.08154332713838146
h0,0,ResNet10,3,3,4,-0.02063961214670209
h0,0,ResNet10,3,3,5,-0.0824171875054343
h0,0,ResNet10,3,3,6,-0.08140341925391899
h0,0,ResNet10,3,3,7,-0.007992128891076374
h0,0,ResNet10,3,3,8,0.08652004470530555
h0,0,ResNet10,3,3,9,0.11782846831832179
h0,0,ResNet10,4,0,0,-0.18307416487999173
h0,0,ResNet10,4,0,1,0.1476643160726019
h0,0,ResNet10,4,0,2,-0.016783880265769987
h0,0,ResNet10,4,0,3,-0.011477044212420065
h0,0,ResNet10,4,0,4,0.27706409903101437
h0,0,ResNet10,4,0,5,-0.40028924079573985
h0,0,ResNet10,4,0,6,-0.02324502696386579
h0,0,ResNet10,4,0,7,-0.046451411375262534
h0,0,ResNet10,4,0,8,0.10730247752723154
h0,0,ResNet10,4,0,9,0.14928987586220138
h0,0,ResNet10,5,1,0,0.0027169647816852245
h0,0,ResNet10,5,1,1,-0.0018776636376263089
h0,0,ResNet10,5,1,2,-0.036362640372194256
h0,0,ResNet10,5,1,3,-0.023790308492645046
h0,0,ResNet10,5,1,4,0.16978427952984007
h0,0,ResNet10,5,1,5,0.009451323320264987
h0,0,ResNet10,5,1,6,-0.14695576748718603
h0,0,ResNet10,5,1,7,-6.576943679042031e-05
h0,0,ResNet10,5,1,8,0.014859619554940655
h0,0,ResNet10,5,1,9,0.012239962239710831
h0,0,ResNet10,6,2,0,-0.01298046546453846
h0,0,ResNet10,6,2,1,0.08193273793196684
h0,0,ResNet10,6,2,2,0.040778708835476365
h0,0,ResNet10,6,2,3,0.016415509194517473
h0,0,ResNet10,6,2,4,0.05838661094244871
h0,0,ResNet10,6,2,5,-0.20670878149684566
h0,0,ResNet10,6,2,6,-0.060761867706935965
h0,0,ResNet10,6,2,7,-0.10016394926347892
h0,0,ResNet10,6,2,8,0.10719698020078156
h0,0,ResNet10,6,2,9,0.07590451682660754
h0,0,ResNet10,7,3,0,-0.14221270686893706
h0,0,ResNet10,7,3,1,0.12039597065398627
h0,0,ResNet10,7,3,2,-0.07162275614992591
h0,0,ResNet10,7,3,3,0.08154332713838146
h0,0,ResNet10,7,3,4,-0.02063961214670209
h0,0,ResNet10,7,3,5,-0.0824171875054343
h0,0,ResNet10,7,3,6,-0.08140341925391899
h0,0,ResNet10,7,3,7,-0.007992128891076374
h0,0,ResNet10,7,3,8,0.08652004470530555
h0,0,ResNet10,7,3,9,0.11782846831832179
h0,0,ResNet10,8,0,0,-0.18307416487999173
h0,0,ResNet10,8,0,1,0.1476643160726019
h0,0,ResNet10,8,0,2,-0.016783880265769987
h0,0,ResNet10,8,0,3,-0.011477044212420065
h0,0,ResNet10,8,0,4,0.27706409903101437
h0,0,ResNet10,8,0,5,-0.40028924079573985
h0,0,ResNet10,8,0,6,-0.02324502696386579
h0,0,ResNet10,8,0,7,-0.046451411375262534
h0,0,ResNet10,8,0,8,0.10730247752723154
h0,0,ResNet10,8,0,9,0.14928987586220138
h0,0,ResNet10,9,1,0,0.0027169647816852245
h0,0,ResNet10,9,1,1,-0.0018776636376263089
h0,0,ResNet10,9,1,2,-0.036362640372194256
h0,0,ResNet10,9,1,3,-0.023790308492645046
h0,0,ResNet10,9,1,4,0.16978427952984007
h0,0,ResNet10,9,1,5,0.009451323320264987
h0,0,ResNet10,9,1,6,-0.14695576748718603
h0,0,ResNet10,9,1,7,-6.576943679042031e-05
h0,0,ResNet10,9,1,8,0.014859619554940655
h0,0,ResNet10,9,1,9,0.012239962239710831
h0,1,ResNet12,0,1,0,-0.007436338656424159
h0,1,ResNet12,0,1,1,-0.4034191496771042
h0,1,ResNet12,0,1,2,0.129904613705729
h0,1,ResNet12,0,1,3,0.026607526486924594
h0,1,ResNet12,0,1,4,0.17396745437924166
h0,1,ResNet12,0,1,5,0.1340473886660559
h0,1,ResNet12,0,1,6,-0.008987305388425558
h0,1,ResNet12,0,1,7,0.04062112229380154
h0,1,ResNet12,0,1,8,6.055035364930354e-05
h0,1,ResNet12,0,1,9,-0.08536586216344778
h0,1,ResNet12,1,2,0,0.013258820828688326
h0,1,ResNet12,1,2,1,0.01796768130085978
h0,1,ResNet12,1,2,2,-0.025537659225737676
h0,1,ResNet12,1,2,3,-0.07003651791633633
h0,1,ResNet12,1,2,4,0.10899462056191006
h0,1,ResNet12,1,2,5,-0.10292240245923276
h0,1,ResNet12,1,2,6,0.06621749860934016
h0,1,ResNet12,1,2,7,-0.12013230497205434
h0,1,ResNet12,1,2,8,0.07276621835392112
h0,1,ResNet12,1,2,9,0.03942404491864161
h0,1,ResNet12,2,3,0,-0.07748295001618023
h0,1,ResNet12,2,3,1,-0.21080388161539612
h0,1,ResNet12,2,3,2,0.06169472779611844
h0,1,ResNet12,2,3,3,-0.005988445083257218
h0,1,ResNet12,2,3,4,0.05042246121825667
h0,1,ResNet12,2,3,5,0.017050129446378407
h0,1,ResNet12,2,3,6,0.09989267546580032
h0,1,ResNet12,2,3,7,0.02603478301708581
h0,1,ResNet12,2,3,8,0.023683799283206984
h0,1,ResNet12,2,3,9,0.01549670048798762
h0,1,ResNet12,3,0,0,-0.08534707421882398
h0,1,ResNet12,3,0,1,-0.43948295468604653
h0,1,ResNet12,3,0,2,0.14658411535007457
h0,1,ResNet12,3,0,3,0.0974066240813314
h0,1,ResNet12,3,0,4,0.21903024208255098
