arm,client,model,class,binding_family,generic_strength,harmful_positive_strength,harmful_diagonal_signed,valid_instance_support,generic_rank,harmful_rank,target_maps_new_class_from_old_class
h0,0,ResNet10,0,0,0.010046277854636167,0.11991591838297865,-0.18307416487999173,2800,1,6,5
h0,0,ResNet10,1,1,0.00042770211471923196,0.11444651683677137,-0.0018776636376263089,2800,7,7,6
h0,0,ResNet10,2,2,0.0014111626129503585,0.12455342395308198,0.040778708835476365,3200,5,5,7
h0,0,ResNet10,3,3,0.00014669254302771697,0.15568994954087864,0.08154332713838146,3200,9,4,4
h0,0,ResNet10,4,0,0.012441213377919232,0.3564888770094507,0.27706409903101437,2800,0,0,3
h0,0,ResNet10,5,1,0.0004260666763524207,0.1800356411403696,0.009451323320264987,2800,8,2,0
h0,0,ResNet10,6,2,0.005739520785624797,0.09905954767179566,-0.060761867706935965,3200,2,9,1
h0,0,ResNet10,7,3,0.0017623138844681597,0.1864218418408262,-0.007992128891076374,3200,4,1,2
h0,0,ResNet10,8,0,0.0024483237213882613,0.17802398590151167,0.10730247752723154,2800,3,3,9
h0,0,ResNet10,9,1,0.0004485797973475682,0.1037256842927155,0.012239962239710831,2800,6,8,8
h0,1,ResNet12,0,1,0.005987959733353816,0.21045678912114316,-0.007436338656424159,2800,1,3,6
h0,1,ResNet12,1,2,0.0007614216649255885,0.12374331624231605,0.01796768130085978,2800,7,7,5
h0,1,ResNet12,2,3,0.0034768560969112763,0.1931973452212659,0.06169472779611844,3200,5,4,4
h0,1,ResNet12,3,0,0.011436181403472474,0.2127862754532972,0.0974066240813314,3200,0,2,9
h0,1,ResNet12,4,1,0.003932859134828468,0.2586461733271286,0.17396745437924166,2800,4,0,2
h0,1,ResNet12,5,2,0.005298149835536441,0.07687419525758475,-0.10292240245923276,2800,2,9,1
h0,1,ResNet12,6,3,0.0007083368370946031,0.14478181244532126,0.09989267546580032,3200,8,6,0
h0,1,ResNet12,7,0,0.0015066008623518855,0.17574660478287918,0.011021858602245714,3200,6,5,8
h0,1,ResNet12,8,1,0.0051736743940663426,0.22233322924916588,6.055035364930354e-05,2800,3,1,7
h0,1,ResNet12,9,2,0.0003526360772365049,0.07698048713763721,0.03942404491864161,2800,9,8,3
h0,2,ShuffleNet,0,2,0.00464270902100946,0.08066195951868217,-0.04439909334602374,2800,3,8,4
h0,2,ShuffleNet,1,3,0.0005699520377736615,0.10488862116678563,-0.07434001145330746,2800,8,6,3
h0,2,ShuffleNet,2,0,0.00021814632552409377,0.09879887119589573,-0.0213124107287282,3200,9,7,8
h0,2,ShuffleNet,3,1,0.009409407540692067,0.15554242793481785,0.01903687154962795,3200,1,4,1
h0,2,ShuffleNet,4,2,0.0010378545632840088,0.07963325804456492,0.04760105217669877,2800,6,9,0
h0,2,ShuffleNet,5,3,0.0007236039048903765,0.15840887727985334,0.12728602258493227,2800,7,2,6
h0,2,ShuffleNet,6,0,0.008675150146736687,0.24976259631261144,0.20108626107565428,3200,2,0,5
h0,2,ShuffleNet,7,1,0.0032946745062949253,0.2023269716703218,0.07536492782305655,3200,4,1,9
h0,2,ShuffleNet,8,2,0.012800473434718159,0.15833052145420878,0.09564511847785677,2800,0,3,2
h0,2,ShuffleNet,9,3,0.0019343719928777239,0.11502932664564199,-0.006774235235595633,2800,5,5,7
h0,3,Mobilenetv2,0,3,0.008455965641574888,0.12367370643780161,-0.08903724041805852,2800,1,7,7
