arm,system,gamma,client,model,cosine_generic_harm,pearson_generic_harm,spearman_generic_harm,top1_overlap,top3_overlap,top5_overlap,mean_rank_displacement,generic_concentration,harmful_concentration,generic_top_class,harmful_top_class,generic_top3,harmful_top3,matrix_diagonal_mean,matrix_off_diagonal_mean,matrix_diagonal_margin,target_diagonal_signed_before,target_diagonal_signed_after,target_signed_destructive_score,target_positive_diagonal_energy_before,target_positive_diagonal_energy_after,target_positive_energy_destructive_score,target_positive_energy_reduction_fraction,target_signed_destructive_percentile,target_energy_destructive_percentile,random_signed_mean,random_energy_mean
h0,hfl,0,0,ResNet10,0.756518286824483,0.5404308466458916,0.10303030303030303,1.0,0.3333333333333333,0.6,2.8,0.24104899460524956,0.1197915786381758,4,4,4;0;6,4;7;5,0.02746740729764492,-0.0030519341441828077,0.03051934144182773,0.02746740729764492,-0.05023491719246587,0.0777023244901108,0.09682969813856915,0.02922863077092235,0.0676010673676468,0.6981439441255661,0.972,0.83,0.030506822382876123,0.03712749620295368
h0,hfl,0,1,ResNet12,0.8235800445953391,0.4637373854466899,0.4909090909090909,0.0,0.3333333333333333,0.8,2.2,0.1691708131441863,0.11208196652502994,3,4,3;0;5,4;8;3,0.03910768757822313,-0.0043452986198025435,0.04345298619802568,0.03910768757822313,-0.02283254905092358,0.0619402366291467,0.05553608957013775,0.02139054640507852,0.03414554316505923,0.6148352076773651,0.738,0.951,0.04342617351830323,0.001247476854549928
h0,hfl,0,2,ShuffleNet,0.7944312324138165,0.5060358717541785,0.40606060606060607,0.0,0.3333333333333333,0.8,2.8,0.19503264313325744,0.11399696789259116,8,6,8;3;6,6;7;5,0.041919450292417164,-0.0046577166991574525,0.0465771669915746,0.041919450292417164,0.01824702870852674,0.023672421583890418,0.0740935396200217,0.026803435486249683,0.04729010413377202,0.6382486836997452,0.114,0.516,0.046298495738361665,0.04424265399617248
h0,hfl,0,3,Mobilenetv2,0.7737710429297103,0.21770030429156095,0.18787878787878787,0.0,0.3333333333333333,0.6,3.2,0.17056764029033117,0.10889405943797337,6,4,6;0;8,4;9;8,0.01840183631118954,-0.002044648479021001,0.020446484790210544,0.01840183631118954,0.023974294533746714,-0.0055724582225571695,0.031478343286648,0.09089261970262459,-0.05941427641597659,-1.887465165274138,0.122,0.006,0.019816692549708165,-0.01339307871390928
h9,hfl,9,0,ResNet10,0.9228691396402685,0.9166925331760197,0.5757575757575758,0.0,0.6666666666666666,0.6,2.0,0.35978812793434295,0.19841184995569763,4,0,4;0;6,0;4;8,0.8644659419839662,-0.09605177133155182,0.9605177133155183,0.8644659419839662,-0.3226815377126029,1.1871474796965693,21.43818306008687,1.027059648573792,20.411123411513078,0.9520920385045643,0.783,0.674,0.9540096956519144,15.775957937272127
h9,hfl,9,1,ResNet12,0.7933569125966832,0.8433174406993798,0.4666666666666667,1.0,0.6666666666666666,0.6,2.0,0.5852307556546431,0.15750128202500852,3,3,3;7;5,3;2;7,0.8787753081133461,-0.09764170090148318,0.9764170090148292,0.8787753081133461,-0.0316725378465025,0.9104478459598486,12.531134517495692,1.4864521754356206,11.04468234206007,0.8813792818709949,0.314,0.318,0.9867979470690611,10.771618284393277
h9,hfl,9,2,ShuffleNet,0.8670644760974863,0.8454173513831532,0.9515151515151515,1.0,1.0,0.8,0.8,0.2346119500999687,0.12360023585215213,6,6,6;2;8,6;8;2,0.4730297086276559,-0.052558856514183995,0.5255885651418399,0.4730297086276559,-0.03217569917244524,0.5052054078001011,2.903482332447792,0.5444859173554653,2.3589964150923266,0.8124714205175663,0.432,0.459,0.5172785197152362,2.3420932783481785
h9,hfl,9,3,Mobilenetv2,0.8150055981071707,0.8091368039111305,0.8424242424242424,1.0,1.0,0.6,1.4,0.4347630803153751,0.16099759340520362,5,5,5;9;1,5;1;9,0.6927985889702615,-0.07697762099669589,0.7697762099669572,0.6927985889702615,0.1255934760083998,0.5672051129618616,8.13831818771367,1.1133166508053125,7.025001536908357,0.8632006484476193,0.169,0.558,0.7651869564693466,6.1575685146452335
l0,local,0,0,ResNet10,0.7802561452078042,0.4627442692014842,0.21212121212121213,0.0,0.6666666666666666,0.8,2.6,0.1611116216521536,0.17689106257335313,0,8,0;9;1,8;9;1,-0.06439033556629366,0.00715448172958811,-0.07154481729588176,-0.06439033556629366,0.024106989217827342,-0.08849732478412098,0.54118637376705,0.8535080608562795,-0.31232168708922947,-0.5771056002660723,0.396,0.563,-0.07041764773301139,-0.3415197218015553
l0,local,0,1,ResNet12,0.8087298327781596,0.3145927456144574,0.17575757575757575,1.0,0.3333333333333333,0.6,3.0,0.13243036082157955,0.14480252318805364,9,9,9;3;5,9;6;4,0.08623895907615703,-0.009582106564017487,0.09582106564017451,0.08623895907615703,0.03796815021466514,0.0482708088614919,0.5315811786311382,0.30638978436615916,0.22519139426497903,0.42362559721252796,0.196,0.478,0.09384657799383779,0.25607800132123604
l0,local,0,2,ShuffleNet,0.8085519622585031,0.5788388113304358,0.5636363636363636,1.0,0.6666666666666666,0.4,2.0,0.20863733513313315,0.1358664333194197,4,4,4;8;6,4;6;5,0.0903240530474671,-0.010036005894162842,0.10036005894162996,0.0903240530474671,-0.05682469762692468,0.14714875067439176,0.4380214786532327,0.2504959902207235,0.1875254884325092,0.4281193904204385,0.921,0.839,0.09919021768265232,0.0749828444653626
l0,local,0,3,Mobilenetv2,0.8251032642697615,0.4465436245420403,0.2606060606060606,0.0,0.3333333333333333,0.6,2.6,0.16612888018496336,0.11558110266246624,0,7,0;4;6,7;4;3,0.026150343405251786,-0.0029055937116946305,0.029055937116946418,0.026150343405251786,-0.0019470033954807175,0.028097346800732503,0.1663567574943503,0.1673791011418072,-0.0010223436474569025,-0.006145489145431782,0.506,0.614,0.028217773986168447,-0.035657981553567836
