operator,family,true_environment_index,column_l1,column_l2,diagonal_recall_error,train_dominant_confusion,heldout_dominant_confusion,dominant_confusion_preserved
gaussian_noise,noise,1,0.12266666666666662,0.07300532705068702,0.03466666666666662,unknown,unknown,1
shot_noise,noise,1,0.09066666666666666,0.054094567400268787,0.04533333333333334,unknown,unknown,1
impulse_noise,noise,1,0.136,0.0810377141281213,0.008000000000000007,unknown,unknown,1
speckle_noise,noise,1,0.03999999999999995,0.022231109334044045,0.01866666666666661,unknown,unknown,1
defocus_blur,blur,2,0.13599999999999998,0.07556601234829198,0.06799999999999995,clean,clean,1
glass_blur,blur,2,0.1066666666666666,0.05010211794148246,0.03866666666666663,clean,clean,1
motion_blur,blur,2,0.256,0.14710238309120321,0.11599999999999999,clean,clean,1
zoom_blur,blur,2,0.29333333333333333,0.17226336426143157,0.14533333333333331,clean,clean,1
snow,weather,3,0.5466666666666666,0.2732194884866175,0.12666666666666665,clean,noise,0
frost,weather,3,0.3253333333333333,0.18230133783869434,0.1373333333333333,unknown,clean,0
fog,weather,3,0.3626666666666667,0.20679136023215927,0.04933333333333334,clean,unknown,0
spatter,weather,3,0.7306666666666666,0.36416845918704527,0.21466666666666662,unknown,clean,0
contrast,digital,4,0.6026666666666667,0.3261846784330074,0.24933333333333332,blur,blur,1
brightness,digital,4,0.52,0.23692849366657254,0.11599999999999999,blur,blur,1
jpeg_compression,digital,4,0.7973333333333332,0.48606538197608307,0.32666666666666666,blur,clean,0
pixelate,digital,4,0.3413333333333333,0.15928730157939283,0.03866666666666663,blur,blur,1
