operator,family,lambda,hard_l1,corrected_l1,relative_error_reduction,improved,unknown_observed_rate
gaussian_noise,noise,0.0,0.03030303030303029,0.0494303980770692,-0.6312031365432843,0,0.208
shot_noise,noise,0.0,0.0,0.0,0.0,0,0.16
impulse_noise,noise,0.0,0.17117117117117117,0.051158030796668856,0.7011293990299872,1,0.112
speckle_noise,noise,0.0,0.0961538461538462,0.04121767113517055,0.5713362201942265,1,0.168
defocus_blur,blur,0.0,0.45267489711934167,0.0,1.0,1,0.028
glass_blur,blur,0.0,0.5882352941176471,0.13163506837130523,0.7762203837687811,1,0.048
motion_blur,blur,0.0,0.3651452282157676,0.0,1.0,1,0.036
zoom_blur,blur,0.0,0.7717842323651453,0.5452877903184488,0.2934711964153433,1,0.036
snow,weather,0.0,0.55,0.18041122767419673,0.6719795860469151,1,0.2
frost,weather,0.0,0.6513761467889909,0.0,1.0,1,0.128
fog,weather,0.0,0.7126436781609196,0.1147501505117399,0.8389796275077198,1,0.304
spatter,weather,0.0,1.3106382978723403,1.2736890874533326,0.028191767689827285,1,0.06
contrast,digital,0.0,0.961038961038961,0.1586058369221845,0.8349641967161053,1,0.076
brightness,digital,0.0,1.2276422764227641,0.4400299400618526,0.6415650157112062,1,0.016
jpeg_compression,digital,0.0,1.9020408163265305,2.0,-0.051502145922746816,0,0.02
pixelate,digital,0.0,1.386046511627907,0.4879379980345748,0.6479641960488806,1,0.14
